82,"select top # p.objid, p.ra, p.dec from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-20 15:13:00,1
2019-01-20 15:14:00,1
2019-03-05 03:55:00,1
2019-03-05 18:50:00,1
2019-03-05 18:54:00,1
2019-03-06 03:53:00,1
2019-03-06 03:55:00,1
2019-03-08 20:00:00,1
2019-03-12 04:53:00,1
2019-03-12 05:00:00,2
2019-03-13 03:00:00,2
2019-03-13 03:01:00,1
2019-03-13 05:22:00,1
2019-03-26 08:14:00,1
2019-04-02 08:09:00,3
2019-04-02 08:12:00,3
2019-06-24 19:44:00,1
2019-06-25 01:30:00,2
2019-06-25 14:41:00,1
2019-06-25 14:47:00,1
2019-06-25 14:52:00,1
2019-06-25 15:05:00,1
2019-06-25 15:09:00,1
2019-06-25 17:07:00,2
2019-06-25 17:08:00,2
2019-06-25 17:09:00,1
2019-06-25 18:24:00,1
2019-06-25 18:25:00,1
2019-06-25 18:34:00,2
2019-08-13 21:08:00,1
2019-08-13 21:09:00,1
2019-09-27 12:43:00,1
2019-10-12 16:00:00,1
2019-10-21 13:09:00,1
2019-10-22 08:49:00,3
2019-10-22 08:53:00,1
2019-10-22 18:31:00,1
2019-10-22 18:33:00,2
2019-10-29 18:57:00,2
2019-10-29 18:58:00,1
2019-10-29 18:59:00,1
2019-10-29 19:00:00,1
2019-10-29 19:01:00,1
2019-10-29 19:02:00,1
2019-10-29 19:03:00,1
2019-10-29 19:04:00,1
2019-10-29 20:53:00,1
2019-10-29 20:54:00,1
2019-10-30 00:40:00,1
2019-10-31 16:13:00,1
2019-10-31 16:15:00,1
2019-11-05 00:03:00,1
2019-11-05 00:04:00,1
2019-11-05 00:05:00,1
2019-11-05 00:06:00,4
2019-11-05 00:07:00,1
2019-11-19 21:37:00,1
2019-12-02 22:10:00,1
2019-12-02 22:13:00,1
2019-12-12 17:39:00,1
2019-12-12 17:40:00,1
2019-12-12 17:41:00,1
2019-12-17 13:06:00,2
2019-12-20 12:04:00,1
