9,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p where (p.u BETWEEN # AND #)"
2019-03-26 08:05:00,2
2019-03-26 08:13:00,1
2019-03-26 08:14:00,1
2019-03-26 08:56:00,1
2019-04-02 07:45:00,1
2019-04-02 08:05:00,1
2019-04-02 08:08:00,1
2019-04-02 08:45:00,1
