45,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec, s.z, p.objID, p.r, p.u FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = # AND (p.type = # OR p.type = #)"
2019-11-04 07:57:00,1
2019-11-04 08:19:00,2
2019-11-04 08:20:00,1
2019-11-19 03:31:00,2
2019-11-19 03:32:00,1
2019-11-19 06:34:00,2
2019-11-19 06:35:00,1
2019-11-20 03:23:00,3
2019-11-20 03:24:00,1
2019-11-20 03:30:00,1
2019-11-20 03:59:00,1
2019-11-20 04:00:00,1
2019-11-20 04:27:00,1
2019-11-20 04:36:00,1
2019-11-20 04:38:00,1
2019-11-20 04:41:00,1
2019-11-20 04:45:00,1
2019-11-20 04:46:00,1
2019-11-20 04:47:00,1
2019-11-22 05:02:00,2
2019-11-22 10:34:00,4
2019-11-22 10:43:00,1
2019-11-22 11:01:00,1
2019-11-22 11:05:00,1
2019-11-22 11:08:00,1
2019-11-22 11:10:00,1
2019-11-23 18:15:00,1
2019-11-23 18:16:00,1
2019-11-24 14:14:00,1
2019-12-06 05:42:00,1
2019-12-10 15:06:00,1
2019-12-10 15:07:00,2
2019-12-11 05:52:00,2
2019-12-11 09:12:00,1
