22,select objid from photoobj where photoobj.dec between .# and # and photoobj.ra between # and #
2019-02-26 22:35:00,1
2019-02-27 01:26:00,1
2019-02-27 14:17:00,1
2019-02-27 21:19:00,1
2019-02-28 04:52:00,1
2019-03-02 17:13:00,1
2019-03-03 14:32:00,2
2019-03-05 17:19:00,1
2019-03-07 07:09:00,1
2019-03-07 07:11:00,1
2019-03-07 07:22:00,2
2019-03-07 11:04:00,1
2019-03-14 05:44:00,1
2019-03-14 08:19:00,1
2019-03-14 08:45:00,1
2019-03-14 09:11:00,1
2019-03-14 11:31:00,1
2019-03-14 11:54:00,1
2019-03-14 13:52:00,2
