2,"select avg (deVMag_u-deVMag_g) , avg (deVMag_g-deVMag_r) , avg (deVMag_r-deVMag_i) , avg (deVMag_i-deVMag_z) , stdev (deVMag_u-deVMag_g) , stdev (deVMag_g-deVMag_r) , stdev (deVMag_r-deVMag_i) , stdev (deVMag_i-deVMag_z) from buta_ids2_DR7_col where z> =# and z< #"
2019-09-21 01:16:00,1
2019-09-21 01:17:00,1
