58,select objid from star where star.dec between -.# and # and star.ra between # and #
2019-02-28 07:47:00,1
2019-02-28 07:51:00,1
2019-02-28 07:57:00,1
2019-02-28 08:02:00,2
2019-02-28 08:03:00,1
2019-02-28 08:14:00,2
2019-02-28 08:18:00,2
2019-02-28 08:19:00,1
2019-02-28 08:20:00,1
2019-02-28 08:23:00,1
2019-02-28 08:35:00,1
2019-02-28 08:59:00,1
2019-02-28 09:04:00,1
2019-02-28 09:06:00,1
2019-02-28 09:12:00,1
2019-02-28 09:35:00,4
2019-02-28 09:44:00,1
2019-02-28 10:07:00,2
2019-02-28 10:09:00,1
2019-02-28 10:24:00,1
2019-02-28 11:12:00,1
2019-02-28 11:29:00,1
2019-02-28 11:50:00,1
2019-02-28 11:55:00,1
2019-03-14 13:16:00,1
2019-03-14 13:35:00,6
2019-03-14 13:36:00,7
2019-03-14 13:37:00,9
2019-03-14 13:38:00,2
2019-03-14 13:39:00,2
