4204,"SELECT TOP # g.ra, g.dec, g.psfMag_u as mag_u, g.psfMag_g as mag_g, g.psfMag_r as mag_r, g.psfMag_i as mag_i, g.psfMag_z as mag_z, p.z, p.zErr from GalaxyTag as g JOIN Photoz as p ON p.objID = g.objID WHERE g.ra BETWEEN # AND #"
2019-01-22 01:22:00,20
2019-01-22 01:30:00,14
2019-01-22 01:31:00,6
2019-01-22 01:46:00,12
2019-01-22 01:47:00,12
2019-01-22 01:51:00,10
2019-01-22 01:52:00,10
2019-01-22 01:53:00,10
2019-01-22 01:54:00,12
2019-01-22 01:55:00,18
2019-01-22 01:56:00,13
2019-01-22 01:57:00,15
2019-01-22 01:58:00,12
2019-01-22 01:59:00,14
2019-01-22 02:00:00,12
2019-01-22 02:01:00,12
2019-01-22 02:02:00,12
2019-01-22 02:03:00,22
2019-01-22 02:04:00,12
2019-01-22 02:05:00,10
2019-01-22 02:06:00,12
2019-01-22 02:07:00,18
2019-01-22 02:08:00,12
2019-01-22 02:09:00,16
2019-01-22 02:10:00,18
2019-01-22 02:11:00,10
2019-01-22 02:12:00,14
2019-01-22 02:13:00,18
2019-01-22 02:14:00,14
2019-01-22 02:15:00,20
2019-01-22 02:16:00,14
2019-01-22 02:17:00,16
2019-01-22 02:18:00,20
2019-01-22 02:19:00,18
2019-01-22 02:20:00,16
2019-01-22 02:21:00,16
2019-01-22 02:22:00,16
2019-01-22 02:23:00,20
2019-01-22 02:24:00,18
2019-01-22 02:25:00,22
2019-01-22 02:26:00,20
2019-01-22 02:27:00,22
2019-01-22 02:28:00,22
2019-01-22 02:29:00,24
2019-01-22 02:30:00,22
2019-01-22 02:31:00,34
2019-01-22 02:32:00,34
2019-01-22 02:33:00,22
2019-01-22 02:34:00,20
2019-01-22 02:35:00,28
2019-01-22 02:36:00,26
2019-01-22 02:37:00,34
2019-01-22 02:38:00,28
2019-01-22 02:39:00,38
2019-01-22 02:40:00,26
2019-01-22 02:41:00,26
2019-01-22 02:42:00,34
2019-01-22 02:43:00,38
2019-01-22 02:44:00,42
2019-01-22 02:45:00,34
2019-01-22 02:46:00,36
2019-01-22 02:47:00,30
2019-01-22 02:48:00,28
2019-01-22 02:49:00,34
2019-01-22 02:50:00,22
2019-01-22 02:51:00,17
2019-01-22 02:52:00,15
2019-01-22 02:53:00,12
2019-01-22 02:54:00,18
2019-01-22 02:55:00,14
2019-01-22 02:56:00,14
2019-01-22 02:57:00,10
2019-01-22 02:58:00,16
2019-01-22 02:59:00,18
2019-01-22 03:00:00,10
2019-01-22 03:01:00,20
2019-01-22 03:02:00,14
2019-01-22 03:03:00,12
2019-01-22 03:04:00,20
2019-01-22 03:05:00,12
2019-01-22 03:06:00,12
2019-01-22 03:07:00,28
2019-01-22 03:08:00,14
2019-01-22 03:09:00,12
2019-01-22 03:10:00,18
2019-01-22 03:11:00,12
2019-01-22 03:12:00,10
2019-01-22 03:13:00,24
2019-01-22 03:14:00,12
2019-01-22 03:15:00,18
2019-01-22 03:16:00,18
