12,"select p.ra as RA, p.dec as DEC, p.g as g_mMAG, p.err_g as er_g, p.r as r_mMAG, p.err_g as er_r, IS# (s.z, #) as z into MyDB.gr_modelMag_DR8_widez from PhotoObjAll as p, SpecObjAll as s where s.z between # and # and p.objID = s.bestObjID"
2019-05-01 01:38:00,1
2019-05-01 01:39:00,1
2019-05-01 01:40:00,3
2019-05-01 01:45:00,2
2019-05-01 01:46:00,2
2019-05-01 01:47:00,3
