316,"SELECT DISTINCT s.ra, s.dec, s.z, s.zErr, s.specClass FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate = #)"
2019-06-03 13:02:00,30
2019-06-03 13:04:00,1
2019-06-03 13:08:00,1
2019-06-03 13:09:00,1
2019-06-03 13:12:00,1
2019-06-03 13:13:00,1
2019-06-03 13:15:00,1
2019-06-03 13:22:00,1
2019-06-03 13:23:00,1
2019-06-03 13:24:00,2
2019-06-03 13:25:00,1
2019-06-03 13:27:00,1
2019-06-03 13:29:00,1
2019-06-03 13:30:00,1
2019-06-03 13:34:00,1
2019-06-03 13:37:00,1
2019-06-03 13:38:00,1
2019-06-03 13:43:00,1
2019-06-03 13:50:00,1
2019-06-03 13:53:00,1
2019-06-03 14:02:00,1
2019-06-03 14:03:00,1
2019-06-03 14:04:00,1
2019-06-03 14:07:00,2
2019-06-03 14:13:00,1
2019-06-03 14:17:00,1
2019-06-03 14:21:00,1
2019-06-03 14:24:00,1
2019-06-03 14:26:00,2
2019-06-03 14:28:00,1
2019-06-03 14:32:00,1
2019-06-03 14:47:00,1
2019-06-03 14:48:00,1
2019-06-03 14:49:00,2
2019-06-03 14:55:00,1
2019-06-03 15:00:00,1
2019-06-03 16:03:00,2
2019-06-03 16:04:00,5
2019-06-03 16:06:00,2
2019-06-03 16:14:00,1
2019-06-03 16:15:00,1
2019-06-03 16:16:00,1
2019-06-03 16:18:00,2
2019-06-03 16:24:00,2
2019-06-03 16:26:00,1
2019-06-03 16:29:00,1
2019-06-03 16:40:00,1
2019-06-03 16:43:00,1
2019-06-03 16:50:00,1
2019-06-03 16:51:00,1
2019-06-03 16:52:00,2
2019-06-03 16:53:00,4
2019-06-03 16:54:00,1
2019-06-03 16:55:00,1
2019-06-03 16:56:00,1
2019-06-03 16:57:00,1
2019-06-03 16:58:00,1
2019-06-03 17:01:00,1
2019-06-03 17:02:00,1
2019-06-03 17:10:00,1
2019-06-03 17:14:00,1
2019-06-03 17:15:00,1
2019-06-03 17:18:00,1
2019-06-03 17:20:00,2
2019-06-03 17:21:00,2
2019-06-03 17:23:00,1
2019-06-03 17:24:00,1
2019-06-03 17:27:00,2
2019-06-03 17:31:00,1
2019-06-03 17:34:00,1
2019-06-03 17:37:00,1
2019-06-03 17:38:00,1
2019-06-03 17:40:00,1
2019-06-03 17:41:00,1
2019-06-03 17:52:00,1
2019-06-03 17:59:00,1
2019-06-03 18:06:00,1
2019-06-03 18:07:00,1
2019-06-03 18:08:00,1
2019-06-03 18:09:00,1
2019-06-03 18:12:00,1
2019-06-03 18:13:00,1
2019-06-03 18:16:00,1
2019-06-03 18:18:00,1
2019-06-03 18:28:00,1
2019-06-03 18:29:00,1
2019-06-03 18:43:00,1
2019-06-03 18:46:00,1
2019-06-03 18:47:00,1
2019-06-03 18:48:00,1
2019-06-03 18:49:00,2
2019-06-03 18:53:00,2
2019-06-03 18:55:00,1
2019-06-03 18:59:00,1
2019-06-03 19:05:00,1
2019-06-03 19:10:00,1
2019-06-03 19:15:00,1
2019-06-03 19:16:00,1
2019-06-03 19:18:00,2
