39,"SELECT TOP # objID, field, ra, dec into mydb.MyTable from PhotoPrimary WHERE ra > #. and ra < # and dec > #. and dec < #"
2019-01-15 17:07:00,1
2019-01-23 14:18:00,1
2019-01-23 14:19:00,1
2019-01-23 14:21:00,1
2019-01-27 01:41:00,1
2019-02-10 10:55:00,2
2019-03-04 10:09:00,1
2019-03-12 04:37:00,1
2019-03-12 04:39:00,1
2019-03-22 16:38:00,1
2019-03-22 16:40:00,1
2019-03-25 18:25:00,1
2019-04-15 06:16:00,1
2019-04-24 05:58:00,1
2019-04-24 17:00:00,1
2019-04-25 06:19:00,1
2019-05-02 10:06:00,1
2019-05-08 03:14:00,1
2019-05-27 03:41:00,1
2019-07-02 02:18:00,1
2019-07-02 02:32:00,1
2019-07-08 00:35:00,1
2019-07-11 11:19:00,1
2019-07-15 13:42:00,1
2019-07-15 13:43:00,1
2019-08-08 02:50:00,1
2019-09-04 09:20:00,1
2019-09-05 03:54:00,1
2019-09-28 19:39:00,1
2019-10-05 01:58:00,1
2019-10-05 01:59:00,1
2019-10-05 02:02:00,1
2019-10-05 02:03:00,1
2019-10-15 00:30:00,1
2019-10-22 10:43:00,1
2019-11-04 02:38:00,1
2019-11-08 11:41:00,1
2019-11-25 09:10:00,1
