1378,"SELECT floor (ra/#) *#, count (*) from GalaxyTag WHERE ra BETWEEN # AND # and type = # group by floor (ra/#) *# order by floor (ra/#) *#"
2019-01-25 19:17:00,4
2019-01-25 19:20:00,4
2019-01-25 19:22:00,4
2019-01-25 19:25:00,4
2019-01-25 19:27:00,4
2019-01-25 20:38:00,4
2019-01-25 20:42:00,4
2019-01-25 20:46:00,4
2019-01-25 20:50:00,4
2019-01-25 20:55:00,5
2019-01-25 20:59:00,2
2019-01-25 21:00:00,2
2019-01-25 21:04:00,4
2019-01-25 21:08:00,4
2019-01-25 21:13:00,4
2019-01-25 21:17:00,4
2019-01-25 21:21:00,4
2019-01-25 21:25:00,4
2019-01-25 21:29:00,4
2019-01-25 21:33:00,4
2019-01-25 21:37:00,4
2019-01-25 21:41:00,4
2019-01-25 21:45:00,5
2019-01-25 21:48:00,5
2019-01-25 21:53:00,4
2019-01-25 21:56:00,4
2019-01-25 22:00:00,4
2019-01-25 22:04:00,4
2019-01-25 22:08:00,4
2019-01-25 22:12:00,4
2019-01-25 22:15:00,4
2019-01-25 22:18:00,4
2019-01-25 22:22:00,4
2019-01-25 22:25:00,4
2019-01-25 22:28:00,4
2019-01-25 22:31:00,4
2019-01-25 22:34:00,4
2019-01-25 22:36:00,1
2019-01-25 22:37:00,3
2019-01-25 22:39:00,4
2019-01-25 22:42:00,4
2019-01-25 22:45:00,4
2019-01-25 22:48:00,4
2019-01-25 22:50:00,4
2019-01-25 22:53:00,4
2019-01-25 22:56:00,4
2019-01-25 22:59:00,3
2019-01-25 23:02:00,4
2019-01-25 23:05:00,3
2019-01-25 23:07:00,3
2019-01-25 23:09:00,3
2019-01-25 23:11:00,3
2019-01-25 23:13:00,3
2019-01-25 23:15:00,3
2019-01-25 23:17:00,3
2019-01-25 23:19:00,3
2019-01-25 23:21:00,2
2019-01-25 23:22:00,1
2019-01-25 23:24:00,3
2019-01-25 23:26:00,3
2019-01-25 23:28:00,3
2019-01-25 23:30:00,3
2019-01-25 23:32:00,3
2019-01-25 23:33:00,2
2019-01-25 23:34:00,2
2019-01-25 23:35:00,2
2019-01-25 23:36:00,3
2019-01-25 23:38:00,3
2019-01-25 23:40:00,3
2019-01-25 23:42:00,3
2019-01-25 23:44:00,2
2019-01-25 23:45:00,2
2019-01-25 23:47:00,2
2019-01-25 23:48:00,2
2019-01-25 23:50:00,2
2019-01-25 23:51:00,2
2019-01-25 23:52:00,2
2019-01-25 23:54:00,2
2019-01-25 23:55:00,2
2019-01-25 23:56:00,2
2019-01-25 23:57:00,1
2019-01-25 23:58:00,1
2019-01-25 23:59:00,2
2019-01-26 00:00:00,2
2019-01-26 00:02:00,2
2019-01-26 00:03:00,2
2019-01-26 00:05:00,3
2019-01-26 00:06:00,3
2019-01-26 00:08:00,3
2019-01-26 00:10:00,2
2019-01-26 00:11:00,2
2019-01-26 00:12:00,1
2019-01-26 00:13:00,1
2019-01-26 00:14:00,2
2019-01-26 00:15:00,2
2019-01-26 00:16:00,2
2019-01-26 00:17:00,2
2019-01-26 00:18:00,2
2019-01-26 00:19:00,2
2019-01-26 00:20:00,2
2019-01-26 00:21:00,2
2019-01-26 00:22:00,1
2019-01-26 00:23:00,1
2019-01-26 00:24:00,2
2019-01-26 00:25:00,2
2019-01-26 00:26:00,2
2019-01-26 00:28:00,2
2019-01-26 00:29:00,2
2019-01-26 00:30:00,2
2019-01-26 00:32:00,3
2019-01-26 00:33:00,3
2019-01-26 00:35:00,2
2019-01-26 00:37:00,2
2019-01-26 00:38:00,2
2019-01-26 00:39:00,2
2019-01-26 00:40:00,2
2019-01-26 00:42:00,3
2019-01-26 00:43:00,1
2019-01-26 00:44:00,2
2019-01-26 00:46:00,4
2019-01-26 00:50:00,4
2019-01-26 00:53:00,4
2019-01-26 00:58:00,4
2019-01-26 01:02:00,4
2019-01-26 01:07:00,4
2019-01-26 01:13:00,4
2019-01-26 01:19:00,4
2019-01-26 01:25:00,4
2019-01-26 01:31:00,5
2019-01-26 01:38:00,5
2019-01-26 01:44:00,5
2019-01-26 01:50:00,5
2019-01-26 01:57:00,5
2019-01-26 02:03:00,5
2019-01-26 02:09:00,4
2019-01-26 02:10:00,1
2019-01-26 02:15:00,5
2019-01-26 02:22:00,5
2019-01-26 02:28:00,5
2019-01-26 02:34:00,5
2019-01-26 02:39:00,5
2019-01-26 02:45:00,5
2019-01-26 02:51:00,5
2019-01-26 02:57:00,5
2019-01-26 03:03:00,5
2019-01-26 03:08:00,5
2019-01-26 03:14:00,5
2019-01-26 03:19:00,5
2019-01-26 03:25:00,5
2019-01-26 03:30:00,1
2019-01-26 03:31:00,4
2019-01-26 03:36:00,5
2019-01-26 03:42:00,5
2019-01-26 03:47:00,1
2019-01-26 03:48:00,4
2019-01-26 03:54:00,5
2019-01-26 04:00:00,5
2019-01-26 04:06:00,5
2019-01-26 04:12:00,5
2019-01-26 04:17:00,5
2019-01-26 04:23:00,5
2019-01-26 04:29:00,5
2019-01-26 04:34:00,1
2019-01-26 04:35:00,4
2019-01-26 04:40:00,5
2019-01-26 04:46:00,5
2019-01-26 04:51:00,5
2019-01-26 04:57:00,5
2019-01-26 05:03:00,5
2019-01-26 05:09:00,5
2019-01-26 05:15:00,5
2019-01-26 05:21:00,5
2019-01-26 05:27:00,5
2019-01-26 05:32:00,5
2019-01-26 05:38:00,5
2019-01-26 05:45:00,5
2019-01-26 05:51:00,5
2019-01-26 05:57:00,5
2019-01-26 06:02:00,5
2019-01-26 06:09:00,5
2019-01-26 06:15:00,5
2019-01-26 06:21:00,5
2019-01-26 06:27:00,5
2019-01-26 06:34:00,5
2019-01-26 06:41:00,5
