3,"SELECT TOP # (CAST (CAST (NEWID () AS VARBINARY) AS INT) ) bestobjid, survey, z from SpecObj where class = # and survey = # and zWarning = # and z > = # and z < #"
2019-03-27 14:00:00,1
2019-03-27 14:01:00,2
