5,"SELECT p.ra, p.dec, p.type, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM PhotoObj AS p WHERE p.mode = # AND p.ra < # and p.ra > # AND p.dec < # and p.dec > #"
2019-12-20 05:41:00,3
2019-12-20 05:42:00,2
