33,"select p.ra, p.dec, p.mjd, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z from photoObj p, dbo.fGetNearbyObjEq (#, #, #) n where p.objID = n.objID"
2019-03-14 07:45:00,1
2019-03-14 10:31:00,1
2019-03-14 10:32:00,4
2019-03-14 10:33:00,2
2019-03-14 10:34:00,1
2019-03-14 10:35:00,1
2019-03-14 10:36:00,4
2019-03-14 10:37:00,2
2019-03-14 10:38:00,4
2019-03-18 05:58:00,2
2019-03-18 07:56:00,1
2019-03-18 07:57:00,6
2019-03-27 10:05:00,1
2019-04-01 06:27:00,3
