23,"select distinct top # star.ra, star.dec, #* (star.ra  plate.racen) /cos (plate.deccen*PI () /#) as x, #* (star.dec  plate.deccen) as y, obj.j as mag from apogeestar as star, apogeeObject as obj, apogeePlate as plate where obj.target_id = star.target_id and plate.location_id = star.location_id and plate.plate = # order by mag"
2019-10-07 11:51:00,1
2019-10-22 13:19:00,1
2019-10-22 13:25:00,1
2019-10-28 19:41:00,2
2019-11-02 15:55:00,6
2019-11-02 15:56:00,11
2019-12-31 11:43:00,1
