59,SELECT COUNT (*) FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and #
2019-03-08 18:19:00,2
2019-03-08 18:20:00,3
2019-03-08 18:21:00,1
2019-03-08 18:22:00,3
2019-03-08 18:23:00,4
2019-03-08 18:24:00,3
2019-03-09 06:43:00,3
2019-03-09 06:44:00,3
2019-03-09 06:45:00,3
2019-03-09 06:46:00,4
2019-03-09 06:47:00,3
2019-03-09 06:48:00,2
2019-03-09 06:51:00,1
2019-03-09 06:58:00,3
2019-03-09 06:59:00,4
2019-03-09 07:00:00,5
2019-03-09 07:01:00,5
2019-03-09 07:02:00,2
2019-03-09 08:50:00,1
2019-03-09 08:55:00,1
2019-03-09 08:57:00,3
