31,SELECT max (s.z) FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.objid IN ()
2019-07-21 06:53:00,2
2019-07-21 06:54:00,3
2019-07-21 06:55:00,3
2019-07-21 06:56:00,4
2019-07-21 06:57:00,2
2019-07-21 06:58:00,4
2019-07-21 06:59:00,2
2019-07-21 07:00:00,4
2019-07-21 07:01:00,4
2019-07-21 07:02:00,2
2019-07-22 01:04:00,1
