4160,"SELECT aa_r, kk_r, airmass_r, gain_r FROM Field where run = # AND rerun = # AND camcol = # AND field = #"
2019-01-30 03:23:00,1
2019-01-30 03:25:00,1
2019-01-30 03:27:00,1
2019-01-30 03:28:00,1
2019-01-30 03:30:00,1
2019-01-30 03:32:00,1
2019-01-30 03:34:00,1
2019-01-30 03:35:00,1
2019-01-30 03:37:00,1
2019-01-30 03:38:00,1
2019-01-30 03:40:00,1
2019-01-30 03:43:00,1
2019-01-30 03:45:00,1
2019-01-30 03:47:00,1
2019-01-30 03:49:00,1
2019-01-30 03:51:00,1
2019-01-30 03:53:00,1
2019-01-30 03:55:00,1
2019-01-30 03:57:00,1
2019-01-30 03:58:00,1
2019-01-30 04:00:00,1
2019-01-30 04:02:00,1
2019-01-30 04:04:00,1
2019-01-30 04:05:00,1
2019-01-30 04:07:00,1
2019-01-30 04:08:00,1
2019-01-30 04:10:00,1
2019-01-30 04:12:00,1
2019-01-30 04:13:00,1
2019-01-30 04:16:00,1
2019-01-30 04:17:00,1
2019-01-30 04:19:00,1
2019-01-30 04:21:00,1
2019-01-30 04:23:00,1
2019-01-30 04:24:00,1
2019-01-30 04:26:00,1
2019-01-30 04:27:00,1
2019-01-30 04:29:00,1
2019-01-30 04:31:00,1
2019-01-30 04:32:00,1
2019-01-30 04:34:00,1
2019-01-30 04:36:00,1
2019-01-30 04:38:00,1
2019-01-30 04:39:00,1
2019-01-30 04:41:00,1
2019-01-30 04:43:00,1
2019-01-30 04:45:00,1
2019-01-30 04:46:00,1
2019-01-30 04:48:00,1
2019-01-30 04:51:00,1
2019-01-30 04:53:00,1
2019-01-30 04:56:00,1
2019-01-30 04:58:00,1
2019-01-30 05:00:00,1
2019-01-30 05:02:00,1
2019-01-30 05:03:00,1
2019-01-30 05:05:00,1
2019-01-30 05:06:00,1
2019-01-30 05:08:00,1
2019-01-30 05:09:00,1
2019-01-30 05:11:00,1
2019-01-30 05:12:00,1
2019-01-30 05:13:00,1
2019-01-30 05:14:00,1
2019-01-30 05:15:00,1
2019-01-30 05:16:00,1
2019-01-30 05:17:00,1
2019-01-30 05:18:00,1
2019-01-30 05:19:00,1
2019-01-30 05:20:00,1
2019-01-30 05:21:00,1
2019-01-30 05:22:00,1
2019-01-30 05:23:00,1
2019-01-30 05:24:00,1
2019-01-30 05:25:00,1
2019-01-30 05:27:00,1
2019-01-30 05:28:00,1
2019-01-30 05:29:00,2
2019-01-30 05:30:00,1
2019-01-30 05:31:00,1
2019-01-30 05:32:00,1
2019-01-30 05:33:00,2
2019-01-30 05:34:00,1
2019-01-30 05:35:00,1
2019-01-30 05:36:00,2
2019-01-30 05:37:00,1
2019-01-30 05:38:00,2
2019-01-30 05:39:00,1
2019-01-30 05:40:00,1
2019-01-30 05:41:00,1
2019-01-30 05:42:00,2
2019-01-30 05:43:00,1
2019-01-30 05:44:00,1
2019-01-30 05:45:00,1
2019-01-30 05:46:00,2
2019-01-30 05:47:00,1
2019-01-30 05:48:00,1
2019-01-30 05:49:00,2
2019-01-30 05:50:00,1
2019-01-30 05:51:00,1
2019-01-30 05:52:00,1
2019-01-30 05:53:00,2
2019-01-30 05:54:00,1
2019-01-30 05:55:00,1
2019-01-30 05:56:00,1
2019-01-30 05:57:00,1
2019-01-30 05:58:00,1
2019-01-30 05:59:00,1
2019-01-30 06:00:00,1
2019-01-30 06:01:00,1
2019-01-30 06:03:00,1
2019-01-30 06:04:00,1
2019-01-30 06:06:00,1
2019-01-30 06:07:00,1
2019-01-30 06:09:00,2
2019-01-30 06:10:00,1
2019-01-30 06:12:00,1
2019-01-30 06:13:00,1
2019-01-30 06:14:00,1
2019-01-30 06:16:00,1
2019-01-30 06:17:00,1
2019-01-30 06:18:00,1
2019-01-30 06:19:00,1
2019-01-30 06:20:00,1
2019-01-30 06:22:00,1
2019-01-30 06:23:00,1
2019-01-30 06:24:00,1
2019-01-30 06:25:00,1
2019-01-30 06:26:00,1
2019-01-30 06:27:00,1
2019-01-30 06:28:00,1
2019-01-30 06:29:00,1
2019-01-30 06:30:00,1
2019-01-30 06:31:00,1
2019-01-30 06:33:00,1
2019-01-30 06:34:00,1
2019-01-30 06:35:00,1
2019-01-30 06:37:00,1
2019-01-30 06:38:00,1
2019-01-30 06:40:00,1
2019-01-30 06:41:00,1
2019-01-30 06:42:00,1
2019-01-30 06:44:00,1
2019-01-30 06:45:00,1
2019-01-30 06:47:00,1
2019-01-30 06:48:00,1
2019-01-30 06:50:00,1
2019-01-30 06:51:00,1
2019-01-30 06:52:00,1
2019-01-30 06:53:00,1
2019-01-30 06:55:00,1
2019-01-30 06:56:00,1
2019-01-30 06:58:00,1
2019-01-30 06:59:00,1
2019-01-30 07:00:00,1
2019-01-30 07:02:00,1
2019-01-30 07:03:00,1
2019-01-30 07:04:00,1
2019-01-30 07:06:00,1
2019-01-30 07:08:00,1
2019-01-30 07:09:00,1
2019-01-30 07:10:00,1
2019-01-30 07:12:00,1
2019-01-30 07:13:00,1
2019-01-30 07:15:00,1
2019-01-30 07:16:00,1
2019-01-30 07:18:00,1
2019-01-30 07:20:00,1
2019-01-30 07:21:00,1
2019-01-30 07:23:00,1
2019-01-30 07:24:00,1
2019-01-30 07:26:00,1
2019-01-30 07:27:00,1
2019-01-30 07:29:00,1
2019-01-30 07:30:00,1
2019-01-30 07:31:00,1
2019-01-30 07:32:00,1
2019-01-30 07:34:00,1
2019-01-30 07:35:00,1
2019-01-30 07:36:00,1
2019-01-30 07:38:00,1
2019-01-30 07:39:00,1
2019-01-30 07:41:00,1
2019-01-30 07:43:00,1
2019-01-30 07:45:00,1
2019-01-30 07:47:00,1
2019-01-30 07:48:00,1
2019-01-30 07:50:00,1
2019-01-30 07:51:00,1
2019-01-30 07:52:00,1
2019-01-30 07:54:00,1
2019-01-30 07:55:00,1
2019-01-30 07:56:00,1
2019-01-30 07:58:00,1
2019-01-30 07:59:00,1
2019-01-30 08:00:00,1
2019-01-30 08:02:00,1
2019-01-30 08:03:00,1
2019-01-30 08:04:00,1
2019-01-30 08:06:00,1
2019-01-30 08:07:00,1
2019-01-30 08:08:00,1
2019-01-30 08:10:00,1
2019-01-30 08:11:00,1
2019-01-30 08:13:00,1
2019-01-30 08:14:00,1
2019-01-30 08:16:00,1
2019-01-30 08:17:00,1
2019-01-30 08:19:00,1
2019-01-30 08:20:00,1
2019-01-30 08:22:00,1
2019-01-30 08:23:00,1
2019-01-30 08:25:00,1
2019-01-30 08:27:00,1
2019-01-30 08:28:00,1
2019-01-30 08:30:00,1
2019-01-30 08:32:00,1
2019-01-30 08:33:00,1
2019-01-30 08:35:00,1
2019-01-30 08:37:00,1
2019-01-30 08:39:00,1
2019-01-30 08:40:00,1
2019-01-30 08:41:00,1
2019-01-30 08:43:00,1
2019-01-30 08:44:00,1
2019-01-30 08:46:00,1
2019-01-30 08:47:00,1
2019-01-30 08:49:00,1
2019-01-30 08:51:00,1
2019-01-30 08:52:00,1
2019-01-30 08:54:00,1
2019-01-30 08:55:00,1
2019-01-30 08:57:00,1
2019-01-30 08:58:00,1
2019-01-30 09:00:00,1
2019-01-30 09:01:00,1
2019-01-30 09:03:00,1
2019-01-30 09:05:00,1
2019-01-30 09:06:00,1
2019-01-30 09:08:00,1
2019-01-30 09:09:00,1
2019-01-30 09:11:00,1
2019-01-30 09:12:00,1
2019-01-30 09:14:00,1
2019-01-30 09:15:00,1
2019-01-30 09:17:00,1
2019-01-30 09:18:00,1
2019-01-30 09:20:00,1
2019-01-30 09:22:00,1
2019-01-30 09:23:00,1
2019-01-30 09:25:00,1
2019-01-30 09:26:00,1
2019-01-30 09:28:00,1
2019-01-30 09:30:00,1
2019-01-30 09:31:00,1
2019-01-30 09:32:00,1
2019-01-30 09:34:00,1
2019-01-30 09:35:00,1
2019-01-30 09:37:00,1
2019-01-30 09:39:00,1
2019-01-30 09:40:00,1
2019-01-30 09:42:00,1
2019-01-30 09:44:00,1
2019-01-30 09:45:00,1
2019-01-30 09:47:00,1
2019-01-30 09:48:00,1
2019-01-30 09:50:00,1
2019-01-30 09:51:00,1
2019-01-30 09:53:00,1
2019-01-30 09:55:00,1
2019-01-30 09:57:00,1
2019-01-30 09:58:00,1
2019-01-30 09:59:00,1
2019-01-30 10:01:00,1
2019-01-30 10:02:00,1
2019-01-30 10:03:00,1
2019-01-30 10:05:00,1
2019-01-30 10:06:00,1
2019-01-30 10:07:00,1
2019-01-30 10:09:00,1
2019-01-30 10:11:00,1
2019-01-30 10:12:00,1
2019-01-30 10:14:00,1
2019-01-30 10:15:00,1
2019-01-30 10:17:00,1
2019-01-30 10:18:00,1
2019-01-30 10:20:00,1
2019-01-30 10:21:00,1
2019-01-30 10:23:00,1
2019-01-30 10:24:00,1
2019-01-30 10:26:00,1
2019-01-30 10:27:00,1
2019-01-30 10:29:00,1
2019-01-30 10:30:00,1
2019-01-30 10:32:00,1
2019-01-30 10:34:00,1
2019-01-30 10:36:00,1
2019-01-30 10:38:00,1
2019-01-30 10:40:00,1
2019-01-30 10:42:00,1
2019-01-30 10:43:00,1
2019-01-30 10:44:00,1
2019-01-30 10:45:00,1
2019-01-30 10:46:00,1
2019-01-30 10:47:00,1
2019-01-30 10:48:00,1
2019-01-30 10:49:00,1
2019-01-30 10:50:00,1
2019-01-30 10:51:00,1
2019-01-30 10:52:00,1
2019-01-30 10:53:00,1
2019-01-30 10:54:00,1
2019-01-30 10:55:00,1
2019-01-30 10:56:00,1
2019-01-30 10:58:00,1
2019-01-30 10:59:00,1
2019-01-30 11:00:00,2
2019-01-30 11:01:00,1
2019-01-30 11:02:00,1
2019-01-30 11:03:00,1
2019-01-30 11:04:00,1
2019-01-30 11:05:00,1
2019-01-30 11:06:00,1
2019-01-30 11:07:00,1
2019-01-30 11:08:00,1
2019-01-30 11:09:00,1
2019-01-30 11:10:00,1
2019-01-30 11:11:00,2
2019-01-30 11:13:00,1
2019-01-30 11:14:00,2
2019-01-30 11:15:00,1
2019-01-30 11:16:00,1
2019-01-30 11:17:00,1
2019-01-30 11:18:00,1
2019-01-30 11:19:00,1
2019-01-30 11:20:00,1
2019-01-30 11:21:00,1
2019-01-30 11:22:00,1
2019-01-30 11:23:00,1
2019-01-30 11:24:00,1
2019-01-30 11:25:00,1
2019-01-30 11:26:00,1
2019-01-30 11:27:00,1
2019-01-30 11:28:00,1
2019-01-30 11:29:00,1
2019-01-30 11:30:00,1
2019-01-30 11:31:00,1
2019-01-30 11:32:00,1
2019-01-30 11:33:00,1
2019-01-30 11:34:00,1
2019-01-30 11:35:00,1
2019-01-30 11:36:00,1
2019-01-30 11:37:00,1
2019-01-30 11:38:00,1
2019-01-30 11:39:00,1
2019-01-30 11:40:00,1
2019-01-30 11:41:00,1
2019-01-30 11:42:00,1
2019-01-30 11:43:00,1
2019-01-30 11:44:00,1
2019-01-30 11:45:00,1
2019-01-30 11:46:00,1
2019-01-30 11:47:00,1
2019-01-30 11:48:00,1
2019-01-30 11:49:00,1
2019-01-30 11:50:00,1
2019-01-30 11:51:00,1
2019-01-30 11:52:00,2
2019-01-30 11:53:00,1
2019-01-30 11:54:00,1
2019-01-30 11:55:00,1
2019-01-30 11:56:00,1
2019-01-30 11:57:00,1
2019-01-30 11:58:00,1
2019-01-30 11:59:00,1
2019-01-30 12:00:00,1
2019-01-30 12:01:00,1
2019-01-30 12:02:00,1
2019-01-30 12:03:00,1
2019-01-30 12:04:00,1
2019-01-30 12:05:00,1
2019-01-30 12:06:00,1
2019-01-30 12:07:00,1
2019-01-30 12:09:00,1
2019-01-30 12:10:00,1
2019-01-30 12:11:00,1
2019-01-30 12:12:00,1
2019-01-30 12:14:00,1
2019-01-30 12:15:00,1
2019-01-30 12:16:00,1
2019-01-30 12:17:00,1
2019-01-30 12:18:00,1
2019-01-30 12:19:00,1
2019-01-30 12:20:00,1
2019-01-30 12:21:00,1
2019-01-30 12:22:00,1
2019-01-30 12:23:00,1
2019-01-30 12:25:00,1
2019-01-30 12:26:00,1
2019-01-30 12:27:00,1
2019-01-30 12:29:00,1
2019-01-30 12:30:00,1
2019-01-30 12:31:00,1
2019-01-30 12:32:00,1
2019-01-30 12:34:00,1
2019-01-30 12:35:00,1
2019-01-30 12:37:00,1
2019-01-30 12:38:00,1
2019-01-30 12:39:00,1
2019-01-30 12:40:00,1
2019-01-30 12:41:00,1
2019-01-30 12:42:00,1
2019-01-30 12:43:00,1
2019-01-30 12:44:00,1
2019-01-30 12:46:00,1
2019-01-30 12:47:00,1
2019-01-30 12:48:00,1
2019-01-30 12:49:00,1
2019-01-30 12:50:00,1
2019-01-30 12:51:00,1
2019-01-30 12:52:00,1
2019-01-30 12:53:00,1
2019-01-30 12:54:00,1
2019-01-30 12:55:00,1
2019-01-30 12:56:00,1
2019-01-30 12:57:00,1
2019-01-30 12:59:00,1
2019-01-30 13:00:00,1
2019-01-30 13:01:00,1
2019-01-30 13:02:00,1
2019-01-30 13:03:00,1
2019-01-30 13:04:00,1
2019-01-30 13:06:00,1
2019-01-30 13:07:00,1
2019-01-30 13:08:00,1
2019-01-30 13:10:00,1
2019-01-30 13:11:00,1
2019-01-30 13:13:00,1
2019-01-30 13:14:00,1
2019-01-30 13:15:00,1
2019-01-30 13:16:00,1
2019-01-30 13:17:00,1
2019-01-30 13:18:00,1
2019-01-30 13:20:00,1
2019-01-30 13:21:00,1
2019-01-30 13:23:00,1
2019-01-30 13:25:00,1
2019-01-30 13:26:00,1
2019-01-30 13:28:00,1
2019-01-30 13:29:00,1
2019-01-30 13:31:00,1
2019-01-30 13:32:00,1
2019-01-30 13:33:00,1
2019-01-30 13:34:00,1
2019-01-30 13:36:00,1
2019-01-30 13:37:00,1
2019-01-30 13:38:00,1
2019-01-30 13:39:00,1
2019-01-30 13:40:00,1
2019-01-30 13:41:00,1
2019-01-30 13:43:00,1
2019-01-30 13:44:00,1
2019-01-30 13:45:00,1
2019-01-30 13:47:00,1
2019-01-30 13:48:00,1
2019-01-30 13:49:00,1
2019-01-30 13:51:00,1
2019-01-30 13:52:00,1
2019-01-30 13:53:00,1
2019-01-30 13:54:00,1
2019-01-30 13:55:00,1
2019-01-30 13:57:00,1
2019-01-30 13:59:00,1
2019-01-30 14:00:00,1
2019-01-30 14:01:00,1
2019-01-30 14:03:00,1
2019-01-30 14:04:00,1
2019-01-30 14:05:00,1
2019-01-30 14:06:00,1
2019-01-30 14:08:00,1
2019-01-30 14:09:00,1
2019-01-30 14:10:00,1
2019-01-30 14:12:00,1
2019-01-30 14:13:00,1
2019-01-30 14:14:00,1
2019-01-30 14:16:00,1
2019-01-30 14:17:00,1
2019-01-30 14:18:00,1
2019-01-30 14:20:00,1
2019-01-30 14:21:00,1
2019-01-30 14:22:00,1
2019-01-30 14:24:00,1
2019-01-30 14:25:00,1
2019-01-30 14:26:00,1
2019-01-30 14:28:00,1
2019-01-30 14:29:00,1
2019-01-30 14:30:00,1
2019-01-30 14:32:00,1
2019-01-30 14:34:00,1
2019-01-30 14:35:00,1
2019-01-30 14:37:00,1
2019-01-30 14:39:00,1
2019-01-30 14:41:00,1
2019-01-30 14:43:00,1
2019-01-30 14:45:00,1
2019-01-30 14:46:00,1
2019-01-30 14:48:00,1
2019-01-30 14:50:00,1
2019-01-30 14:51:00,1
2019-01-30 14:53:00,1
2019-01-30 14:55:00,1
2019-01-30 14:56:00,1
2019-01-30 14:58:00,1
2019-01-30 14:59:00,1
2019-01-30 15:01:00,1
2019-01-30 15:02:00,1
2019-01-30 15:04:00,1
2019-01-30 15:06:00,1
2019-01-30 15:07:00,1
2019-01-30 15:09:00,1
2019-01-30 15:10:00,1
2019-01-30 15:12:00,1
2019-01-30 15:14:00,1
2019-01-30 15:15:00,1
2019-01-30 15:16:00,1
2019-01-30 15:18:00,1
2019-01-30 15:20:00,1
2019-01-30 15:22:00,1
2019-01-30 15:23:00,1
2019-01-30 15:25:00,1
2019-01-30 15:27:00,1
2019-01-30 15:29:00,1
2019-01-30 15:31:00,1
2019-01-30 15:32:00,1
2019-01-30 15:34:00,1
2019-01-30 15:35:00,1
2019-01-30 15:37:00,1
2019-01-30 15:38:00,1
2019-01-30 15:40:00,1
2019-01-30 15:41:00,1
2019-01-30 15:43:00,1
2019-01-30 15:45:00,1
2019-01-30 15:46:00,1
2019-01-30 15:47:00,1
2019-01-30 15:49:00,1
2019-01-30 15:50:00,1
2019-01-30 15:52:00,1
2019-01-30 15:53:00,1
2019-01-30 15:54:00,1
2019-01-30 15:56:00,1
2019-01-30 15:57:00,1
2019-01-30 15:59:00,1
2019-01-30 16:00:00,1
2019-01-30 16:01:00,1
2019-01-30 16:03:00,1
2019-01-30 16:04:00,1
2019-01-30 16:06:00,1
2019-01-30 16:08:00,1
2019-01-30 16:10:00,1
2019-01-30 16:11:00,1
2019-01-30 16:12:00,1
2019-01-30 16:14:00,1
2019-01-30 16:15:00,1
2019-01-30 16:16:00,1
2019-01-30 16:18:00,1
2019-01-30 16:19:00,1
2019-01-30 16:20:00,1
2019-01-30 16:21:00,1
2019-01-30 16:23:00,2
2019-01-30 16:25:00,1
2019-01-30 16:26:00,1
2019-01-30 16:27:00,1
2019-01-30 16:28:00,1
2019-01-30 16:29:00,1
2019-01-30 16:30:00,1
2019-01-30 16:31:00,1
2019-01-30 16:33:00,1
2019-01-30 16:34:00,1
2019-01-30 16:35:00,1
2019-01-30 16:36:00,1
2019-01-30 16:38:00,1
2019-01-30 16:39:00,1
2019-01-30 16:40:00,1
2019-01-30 16:42:00,1
2019-01-30 16:43:00,1
2019-01-30 16:44:00,1
2019-01-30 16:46:00,1
2019-01-30 16:47:00,1
2019-01-30 16:48:00,1
2019-01-30 16:49:00,1
2019-01-30 16:50:00,1
2019-01-30 16:52:00,1
2019-01-30 16:53:00,1
2019-01-30 16:54:00,1
2019-01-30 16:56:00,1
2019-01-30 16:58:00,1
2019-01-30 16:59:00,1
2019-01-30 17:01:00,1
2019-01-30 17:02:00,1
2019-01-30 17:03:00,1
2019-01-30 17:05:00,1
2019-01-30 17:06:00,1
2019-01-30 17:07:00,1
2019-01-30 17:08:00,1
2019-01-30 17:10:00,1
2019-01-30 17:11:00,1
2019-01-30 17:13:00,1
2019-01-30 17:14:00,1
2019-01-30 17:15:00,1
2019-01-30 17:16:00,1
2019-01-30 17:18:00,1
2019-01-30 17:19:00,1
2019-01-30 17:20:00,1
2019-01-30 17:22:00,1
2019-01-30 17:23:00,1
2019-01-30 17:24:00,1
2019-01-30 17:25:00,1
2019-01-30 17:26:00,1
2019-01-30 17:28:00,1
2019-01-30 17:29:00,1
2019-01-30 17:30:00,1
2019-01-30 17:32:00,1
2019-01-30 17:33:00,1
2019-01-30 17:35:00,1
2019-01-30 17:37:00,1
2019-01-30 17:38:00,1
2019-01-30 17:40:00,1
2019-01-30 17:42:00,1
2019-01-30 17:43:00,1
2019-01-30 17:44:00,1
2019-01-30 17:46:00,1
2019-01-30 17:47:00,1
2019-01-30 17:49:00,1
2019-01-30 17:50:00,1
2019-01-30 17:52:00,1
2019-01-30 17:53:00,1
2019-01-30 17:54:00,1
2019-01-30 17:56:00,1
2019-01-30 17:57:00,1
2019-01-30 17:59:00,1
2019-01-30 18:00:00,1
2019-01-30 18:01:00,1
2019-01-30 18:03:00,1
2019-01-30 18:04:00,1
2019-01-30 18:05:00,1
2019-01-30 18:07:00,1
2019-01-30 18:08:00,1
2019-01-30 18:10:00,1
2019-01-30 18:12:00,1
2019-01-30 18:13:00,1
2019-01-30 18:15:00,1
2019-01-30 18:17:00,1
2019-01-30 18:18:00,1
2019-01-30 18:19:00,1
2019-01-30 18:21:00,1
2019-01-30 18:22:00,1
2019-01-30 18:24:00,1
2019-01-30 18:25:00,1
2019-01-30 18:27:00,1
2019-01-30 18:29:00,1
2019-01-30 18:31:00,1
2019-01-30 18:32:00,1
2019-01-30 18:34:00,1
2019-01-30 18:35:00,1
2019-01-30 18:36:00,1
2019-01-30 18:38:00,1
2019-01-30 18:39:00,1
2019-01-30 18:40:00,1
2019-01-30 18:42:00,1
2019-01-30 18:43:00,1
2019-01-30 18:45:00,1
2019-01-30 18:47:00,1
2019-01-30 18:48:00,1
2019-01-30 18:50:00,1
2019-01-30 18:51:00,1
2019-01-30 18:53:00,1
2019-01-30 18:55:00,1
2019-01-30 18:57:00,1
2019-01-30 18:59:00,1
2019-01-30 19:01:00,1
2019-01-30 19:03:00,1
2019-01-30 19:05:00,1
2019-01-30 19:06:00,1
2019-01-30 19:08:00,1
2019-01-30 19:10:00,1
2019-01-30 19:12:00,1
2019-01-30 19:13:00,1
2019-01-30 19:14:00,1
2019-01-30 19:16:00,1
2019-01-30 19:17:00,1
2019-01-30 19:18:00,1
2019-01-30 19:20:00,1
2019-01-30 19:21:00,1
2019-01-30 19:22:00,1
2019-01-30 19:24:00,1
2019-01-30 19:26:00,1
2019-01-30 19:27:00,1
2019-01-30 19:29:00,1
2019-01-30 19:30:00,1
2019-01-30 19:32:00,1
2019-01-30 19:33:00,1
2019-01-30 19:35:00,1
2019-01-30 19:36:00,1
2019-01-30 19:38:00,1
2019-01-30 19:39:00,1
2019-01-30 19:41:00,1
2019-01-30 19:43:00,1
2019-01-30 19:44:00,1
2019-01-30 19:45:00,1
2019-01-30 19:47:00,1
2019-01-30 19:48:00,1
2019-01-30 19:50:00,1
2019-01-30 19:51:00,1
2019-01-30 19:53:00,1
2019-01-30 19:54:00,1
2019-01-30 19:55:00,1
2019-01-30 19:56:00,1
2019-01-30 19:58:00,1
2019-01-30 19:59:00,1
