24,"SELECT TOP # g.ra, g.dec, g.cModelMag_u as mag_u, g.cModelMag_g as mag_g, g.cModelMag_r as mag_r, g.cModelMag_i as mag_i, g.cModelMag_z as mag_z, p.z, p.zErr from GalaxyTag as g JOIN Photoz as p ON p.objID = g.objID WHERE g.ra BETWEEN # AND # AND p.z > # and p.z < #"
2019-01-24 22:38:00,14
2019-01-24 22:39:00,4
2019-01-24 22:40:00,4
2019-01-24 22:41:00,2
