3,"SELECT p.objid, p.ra, p.dec, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND s.z BETWEEN # AND #"
2019-03-19 16:10:00,1
2019-03-19 16:12:00,2
