3,"select top # p.objid, p.ra, p.dec from star p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid"
2019-05-02 15:18:00,1
2019-10-21 13:09:00,1
2019-12-10 07:00:00,1
