144669,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-01-10 19:43:00,3
2019-01-10 19:44:00,7
2019-01-10 19:45:00,7
2019-01-10 19:46:00,7
2019-01-10 19:47:00,8
2019-01-10 19:48:00,7
2019-01-10 19:49:00,8
2019-01-10 19:50:00,7
2019-01-10 19:51:00,8
2019-01-10 19:52:00,7
2019-01-10 19:53:00,8
2019-01-10 19:54:00,8
2019-01-10 19:55:00,7
2019-01-10 19:56:00,8
2019-01-10 19:57:00,8
2019-01-10 19:58:00,7
2019-01-10 19:59:00,8
2019-01-10 20:00:00,8
2019-01-10 20:01:00,8
2019-01-10 20:02:00,7
2019-01-10 20:03:00,8
2019-01-10 20:04:00,7
2019-01-10 20:05:00,7
2019-01-10 20:06:00,7
2019-01-10 20:07:00,8
2019-01-10 20:08:00,7
2019-01-10 20:09:00,8
2019-01-10 20:10:00,8
2019-01-10 20:11:00,7
2019-01-10 20:12:00,8
2019-01-10 20:13:00,8
2019-01-10 20:14:00,7
2019-01-10 20:15:00,8
2019-01-10 20:16:00,7
2019-01-10 20:17:00,5
2019-01-10 20:22:00,5
2019-01-10 20:23:00,8
2019-01-10 20:24:00,7
2019-01-10 20:25:00,8
2019-01-10 20:26:00,7
2019-01-10 20:27:00,7
2019-01-10 20:28:00,8
