5,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i FROM PhotoObj AS p WHERE objid = #"
2019-11-25 13:37:00,2
2019-11-25 13:38:00,2
2019-11-25 13:39:00,1
