87,"select top # G.objID, G.ra, G.dec, G.u, G.g, G.r, G.i, G.z, G.flags_r, G.flags, G.clean, p.z, p.zerr, p.nnAvgZ from Galaxy as G, photoz as p where G.objID = p.objID And p.z between # and # AND p.zErr BETWEEN # and # AND ( (g.flags_r & #) ! = #) AND ( (g.flags_r & #) = #) AND ( ((g.flags_r & #) = #) or (g.psfmagerr_r < = #) ) AND ( ((g.flags_r & #) = #) or (g.flags_r & #) = #) order by p.z"
2019-11-19 16:52:00,1
2019-11-19 16:54:00,1
2019-11-19 16:57:00,1
2019-11-19 16:58:00,1
2019-11-19 16:59:00,1
2019-11-19 17:00:00,1
2019-11-19 17:01:00,1
2019-11-19 17:02:00,1
2019-11-19 17:03:00,1
2019-11-19 18:20:00,1
2019-11-19 18:23:00,1
2019-11-19 18:26:00,1
2019-11-19 18:45:00,1
2019-11-19 18:48:00,1
2019-11-19 18:51:00,1
2019-11-19 18:53:00,1
2019-11-19 19:01:00,1
2019-11-19 19:08:00,1
2019-11-19 19:12:00,1
2019-11-19 19:17:00,1
2019-11-19 19:22:00,1
2019-11-19 19:26:00,1
2019-11-19 19:30:00,1
2019-11-19 19:36:00,1
2019-11-19 19:39:00,1
2019-11-19 19:43:00,1
2019-11-19 19:45:00,1
2019-11-19 19:48:00,1
2019-11-19 19:55:00,2
2019-11-19 19:56:00,1
2019-11-19 19:59:00,1
2019-11-19 20:02:00,1
2019-11-19 20:04:00,1
2019-11-19 20:07:00,1
2019-11-19 20:10:00,1
2019-11-19 20:14:00,1
2019-11-19 20:16:00,1
2019-11-19 20:20:00,1
2019-11-19 20:23:00,1
2019-11-19 20:26:00,1
2019-11-19 20:29:00,1
2019-11-19 20:32:00,1
2019-11-19 20:35:00,1
2019-11-19 20:37:00,1
2019-11-19 20:40:00,1
2019-11-19 20:43:00,1
2019-11-19 20:45:00,1
2019-11-19 20:47:00,1
2019-11-19 20:49:00,1
2019-11-19 21:38:00,1
2019-11-19 21:40:00,1
2019-11-19 21:41:00,1
2019-11-19 21:42:00,1
2019-11-19 21:45:00,1
2019-11-19 21:49:00,1
2019-11-19 21:51:00,1
2019-11-19 21:53:00,1
2019-11-19 21:55:00,1
2019-11-19 21:57:00,1
2019-11-19 21:59:00,1
2019-11-19 22:01:00,1
2019-11-19 22:03:00,1
2019-11-19 22:05:00,1
2019-11-19 22:07:00,1
2019-11-19 22:10:00,1
2019-11-19 22:13:00,1
2019-11-19 22:15:00,1
2019-11-19 22:31:00,1
2019-11-19 22:33:00,2
2019-11-19 22:35:00,1
2019-11-19 22:38:00,1
2019-11-19 22:40:00,1
2019-11-19 22:42:00,1
2019-11-19 22:45:00,1
2019-11-19 22:48:00,1
2019-11-19 22:51:00,1
2019-11-19 22:54:00,1
2019-11-19 22:57:00,1
2019-11-19 23:00:00,1
2019-11-19 23:03:00,1
2019-11-19 23:08:00,1
2019-11-19 23:12:00,1
2019-11-19 23:15:00,1
2019-11-19 23:39:00,1
2019-11-19 23:40:00,1
