4,"SELECT TOP # p.g, p.r, s.z as redshift, p.extinction_g, p.extinction_r FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND CLASS = # AND s.z > #"
2019-05-16 14:55:00,2
2019-05-16 15:08:00,1
2019-05-16 15:09:00,1
