2,"SELECT TOP # p.ra, p.dec, p.ObjID, p.deVAB_r, p.expAB_r, s.z FROM photoObj p JOIN specObj s ON s.bestObjID = p.objID WHERE s.z between # and #"
2019-07-26 21:52:00,1
2019-07-26 21:57:00,1
