146,"select s.modelMag_u, s.modelMag_g, s.modelMag_r, s.modelMag_i, s.modelMag_z, s.ra, s.dec, s.z, s.ObjID, s.mjd, s.plate, s.fiberID from SpecPhotoAll as s, dbo.fGetNearbyObjEq (#, #, #) n where s.objID = n.objID and s.class = # and s.z between # and #"
2019-05-24 14:14:00,1
2019-05-24 14:15:00,1
2019-05-24 14:21:00,1
2019-06-01 11:33:00,1
2019-06-01 12:35:00,1
2019-06-01 12:42:00,1
2019-06-01 15:32:00,1
2019-06-01 15:36:00,1
2019-06-01 15:40:00,1
2019-06-01 15:44:00,1
2019-06-01 15:49:00,1
2019-06-01 16:00:00,1
2019-06-01 16:06:00,1
2019-06-01 16:12:00,1
2019-06-01 16:19:00,1
2019-06-01 16:24:00,1
2019-06-01 16:28:00,1
2019-06-01 16:33:00,2
2019-06-01 16:37:00,1
2019-06-01 16:41:00,1
2019-06-01 16:45:00,1
2019-06-01 16:49:00,1
2019-06-01 16:52:00,1
2019-06-01 17:20:00,1
2019-06-01 17:29:00,1
2019-06-01 18:23:00,1
2019-06-01 18:27:00,1
2019-06-01 18:31:00,1
2019-06-01 18:35:00,1
2019-06-01 19:02:00,1
2019-06-01 19:36:00,1
2019-06-01 20:32:00,1
2019-06-01 20:38:00,1
2019-06-01 20:41:00,1
2019-06-01 20:50:00,1
2019-06-01 20:55:00,1
2019-06-01 20:56:00,1
2019-06-01 21:01:00,1
2019-06-01 21:06:00,1
2019-06-01 21:13:00,1
2019-06-01 21:16:00,1
2019-06-01 21:20:00,1
2019-06-01 21:29:00,1
2019-06-01 21:33:00,1
2019-06-01 22:18:00,1
2019-06-02 08:53:00,1
2019-06-02 08:57:00,1
2019-06-02 09:02:00,1
2019-06-02 09:06:00,1
2019-06-02 09:14:00,1
2019-06-02 09:24:00,1
2019-06-02 09:30:00,1
2019-06-02 09:33:00,1
2019-06-02 09:37:00,1
2019-06-02 09:40:00,1
2019-06-02 09:43:00,1
2019-06-02 09:48:00,1
2019-06-02 09:51:00,1
2019-06-02 09:56:00,1
2019-06-02 10:15:00,1
2019-06-02 22:32:00,1
2019-06-02 22:36:00,1
2019-06-02 22:44:00,1
2019-06-02 23:21:00,1
2019-06-03 12:54:00,1
2019-06-03 12:56:00,1
2019-06-03 13:00:00,1
2019-06-03 13:04:00,1
2019-06-03 13:07:00,1
2019-06-03 13:10:00,1
2019-06-03 13:13:00,1
2019-06-03 15:21:00,1
2019-06-03 15:25:00,1
2019-06-03 15:31:00,1
2019-06-03 15:35:00,1
2019-06-03 15:38:00,1
2019-06-03 17:11:00,1
2019-06-03 17:15:00,1
2019-06-03 17:18:00,1
2019-06-03 17:22:00,1
2019-06-03 20:31:00,1
2019-06-03 20:35:00,1
2019-06-03 20:40:00,1
2019-06-03 21:00:00,1
2019-06-03 21:03:00,1
2019-06-03 21:07:00,1
2019-06-03 21:10:00,1
2019-06-03 21:15:00,1
2019-06-03 21:41:00,1
2019-06-03 21:45:00,1
2019-06-03 21:50:00,1
2019-06-03 21:53:00,1
2019-06-03 21:56:00,1
2019-06-03 22:16:00,1
2019-06-03 22:20:00,1
2019-06-04 16:12:00,1
2019-06-04 16:40:00,1
2019-06-04 16:42:00,1
2019-06-04 16:46:00,1
2019-06-04 16:50:00,1
2019-06-04 16:53:00,1
2019-06-04 16:57:00,1
2019-06-04 17:01:00,1
2019-06-04 17:03:00,1
2019-06-04 17:06:00,1
2019-06-04 21:53:00,1
2019-06-04 22:06:00,1
2019-06-04 22:16:00,1
2019-06-04 22:22:00,1
2019-06-04 22:36:00,1
2019-06-04 22:40:00,1
2019-06-04 22:53:00,1
2019-06-05 09:42:00,1
2019-06-05 09:45:00,1
2019-06-05 09:49:00,1
2019-06-05 17:12:00,1
2019-06-05 17:19:00,1
2019-06-05 17:22:00,1
2019-06-05 17:25:00,1
2019-06-05 18:01:00,1
2019-06-05 18:05:00,2
2019-06-05 18:09:00,1
2019-06-05 18:19:00,1
2019-06-05 23:10:00,1
2019-06-05 23:14:00,1
2019-06-05 23:18:00,1
2019-06-05 23:27:00,1
2019-06-06 08:29:00,1
2019-06-06 08:34:00,1
2019-06-06 08:38:00,1
2019-06-06 08:42:00,1
2019-06-06 08:45:00,1
2019-06-06 08:49:00,1
2019-06-06 08:52:00,1
2019-06-06 08:55:00,1
2019-06-06 08:58:00,1
2019-06-06 09:01:00,1
2019-06-06 09:06:00,1
2019-06-06 09:11:00,1
2019-06-06 09:14:00,1
2019-06-06 10:55:00,1
2019-06-06 11:01:00,1
2019-06-11 17:00:00,1
2019-06-11 17:09:00,1
