4,"SELECT TOP # p.u, p.g, p.r, p.i, p.z FROM Galaxy AS p, #UPLOAD as U CROSS APPLY dbo.fGetNearbyObjEq ((U.up_ra) , (U.up_dec) , #) as N WHERE p.objID = N.objID"
2019-11-24 11:02:00,2
2019-11-24 11:03:00,2
