41,"INSERT INTO Census (ID, Geog) VALUES (#, geography::STGeomFromText ('POLYGON ((# #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, #"
2019-10-05 19:16:00,3
2019-10-05 19:18:00,1
2019-10-05 19:19:00,2
2019-10-05 19:20:00,2
2019-10-05 19:21:00,2
2019-10-05 19:22:00,3
2019-10-05 19:23:00,2
2019-10-05 19:24:00,4
2019-10-05 19:25:00,2
2019-10-05 19:26:00,6
2019-10-05 19:27:00,1
2019-10-05 19:28:00,2
2019-10-05 19:30:00,6
2019-10-05 19:31:00,3
2019-10-05 19:32:00,2
