4,"SELECT TOP # ra, dec, u, g, r, i , z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-05-31 23:35:00,2
2019-05-31 23:36:00,1
2019-05-31 23:39:00,1
