259,"SELECT u.up_name as [name], # + cast (p.objId as varchar (#) ) + #+ cast (p.objId as varchar (#) ) + # as objID, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID and p.mode = # ORDER BY x.up_id"
2019-01-02 23:40:00,1
2019-01-07 14:08:00,1
2019-01-08 18:03:00,1
2019-01-09 01:47:00,1
2019-01-11 16:02:00,1
2019-01-12 21:19:00,1
2019-01-15 08:03:00,1
2019-01-18 00:52:00,1
2019-01-24 03:13:00,1
2019-01-24 08:18:00,1
2019-01-24 14:04:00,1
2019-01-24 22:25:00,1
2019-01-28 06:39:00,1
2019-01-30 13:11:00,1
2019-02-01 19:52:00,1
2019-02-02 02:53:00,1
2019-02-05 20:37:00,1
2019-02-06 23:43:00,1
2019-02-07 02:56:00,1
2019-02-07 05:07:00,1
2019-02-07 20:48:00,1
2019-02-07 21:05:00,1
2019-02-08 06:38:00,1
2019-02-09 02:58:00,1
2019-02-11 15:39:00,1
2019-02-12 04:53:00,1
2019-02-12 09:16:00,1
2019-02-12 16:12:00,1
2019-02-14 00:45:00,1
2019-02-14 07:54:00,1
2019-02-16 11:42:00,1
2019-02-17 09:23:00,1
2019-02-18 15:13:00,1
2019-02-18 15:52:00,1
2019-02-20 04:55:00,1
2019-02-22 06:43:00,1
2019-02-23 05:23:00,1
2019-02-24 13:01:00,1
2019-02-25 05:56:00,1
2019-02-25 11:28:00,1
2019-02-27 15:33:00,1
2019-02-28 07:04:00,1
2019-02-28 10:58:00,1
2019-03-03 05:43:00,1
2019-03-05 02:07:00,1
2019-03-05 02:11:00,1
2019-03-05 07:53:00,1
2019-03-05 13:36:00,1
2019-03-06 02:42:00,1
2019-03-06 12:45:00,1
2019-03-07 03:04:00,1
2019-03-07 20:43:00,1
2019-03-08 14:00:00,1
2019-03-08 19:09:00,1
2019-03-08 23:50:00,1
2019-03-09 04:01:00,1
2019-03-12 16:01:00,1
2019-03-25 05:59:00,1
2019-03-26 23:46:00,1
2019-03-28 09:58:00,1
2019-03-29 15:10:00,1
2019-03-31 11:19:00,1
2019-03-31 22:28:00,1
2019-04-01 00:41:00,1
2019-04-06 10:30:00,1
2019-04-08 13:03:00,1
2019-04-09 07:01:00,1
2019-04-10 11:26:00,1
2019-04-12 09:43:00,1
2019-04-13 01:41:00,1
2019-04-13 11:31:00,1
2019-04-14 00:04:00,1
2019-04-16 13:32:00,1
2019-04-16 23:00:00,1
2019-04-17 19:27:00,1
2019-04-18 05:53:00,1
2019-04-19 10:46:00,1
2019-04-19 23:38:00,1
2019-04-20 08:46:00,1
2019-04-20 09:31:00,1
2019-04-21 12:57:00,1
2019-04-21 17:10:00,1
2019-04-21 17:46:00,1
2019-04-22 09:57:00,1
2019-04-26 18:50:00,1
2019-04-27 02:45:00,1
2019-04-28 09:27:00,1
2019-04-28 11:21:00,1
2019-04-30 12:54:00,1
2019-04-30 22:51:00,1
2019-05-03 06:23:00,1
2019-05-04 04:00:00,1
2019-05-05 01:37:00,1
2019-05-11 03:48:00,1
2019-05-13 08:15:00,1
2019-05-13 15:40:00,1
2019-05-14 09:46:00,1
2019-05-16 00:56:00,1
2019-05-16 04:37:00,1
2019-05-17 01:18:00,1
2019-05-17 04:02:00,1
2019-05-17 05:32:00,1
2019-05-17 05:36:00,1
2019-05-22 18:43:00,1
2019-05-22 23:33:00,1
2019-05-23 01:10:00,1
2019-05-23 09:17:00,1
2019-05-29 00:45:00,1
2019-06-02 12:19:00,1
2019-06-09 13:18:00,1
2019-06-13 13:25:00,1
2019-06-23 00:44:00,1
2019-06-25 01:11:00,1
2019-06-25 06:53:00,1
2019-06-25 08:06:00,1
2019-06-26 03:27:00,1
2019-06-27 03:25:00,1
2019-06-27 04:29:00,1
2019-06-27 12:18:00,1
2019-06-27 19:03:00,1
2019-06-27 20:54:00,1
2019-06-27 21:39:00,1
2019-06-28 22:48:00,1
2019-06-29 07:36:00,1
2019-06-29 10:30:00,1
2019-06-30 13:22:00,1
2019-06-30 19:05:00,1
2019-07-01 14:21:00,1
2019-07-02 04:32:00,1
2019-07-03 23:49:00,1
2019-07-05 07:11:00,1
2019-07-05 12:38:00,1
2019-07-08 11:43:00,1
2019-07-08 13:05:00,1
2019-07-09 03:43:00,1
2019-07-09 22:17:00,1
2019-07-09 23:06:00,1
2019-07-10 21:56:00,1
2019-07-14 02:14:00,1
2019-07-14 12:02:00,1
2019-07-14 14:06:00,1
2019-07-14 14:53:00,1
2019-07-17 06:29:00,1
2019-07-20 02:27:00,1
2019-07-21 03:13:00,1
2019-07-22 14:55:00,1
