49,"SELECT p.objId as objid, pz.z, pz.distMod, pz.lumDist FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN Photoz AS pz ON pz.objID = p.objid WHERE pz.z between # and #"
2019-07-15 12:00:00,1
2019-07-15 12:01:00,1
2019-07-15 12:02:00,1
2019-07-15 12:05:00,1
2019-07-15 12:11:00,1
2019-07-15 12:12:00,1
2019-07-15 12:14:00,1
2019-07-15 12:19:00,1
2019-07-15 12:20:00,1
2019-07-15 12:21:00,1
2019-07-15 12:22:00,1
2019-07-15 12:24:00,1
2019-07-15 12:26:00,2
2019-07-15 12:28:00,1
2019-07-15 12:29:00,1
2019-07-15 12:30:00,1
2019-07-15 12:31:00,1
2019-07-15 12:36:00,1
2019-07-15 12:38:00,1
2019-07-15 12:43:00,1
2019-07-15 12:48:00,1
2019-07-15 12:49:00,1
2019-07-15 12:53:00,1
2019-07-15 13:43:00,1
2019-07-15 13:45:00,1
2019-07-15 13:48:00,1
2019-07-16 10:10:00,1
2019-07-16 10:11:00,1
2019-07-16 10:14:00,1
2019-07-16 10:15:00,1
2019-07-16 14:17:00,1
2019-07-16 14:38:00,2
2019-07-16 14:39:00,1
2019-07-16 14:41:00,1
2019-07-16 14:42:00,7
2019-07-16 14:43:00,4
2019-07-16 14:49:00,1
2019-07-16 15:18:00,1
