43,"SELECT TOP # g, r, err_g, err_r, ra, dec, flags_r FROM Galaxy WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-09-30 13:52:00,1
2019-10-11 18:19:00,2
2019-10-11 18:25:00,1
2019-10-11 18:26:00,1
2019-10-13 17:30:00,1
2019-10-14 14:43:00,1
2019-10-14 14:44:00,1
2019-10-14 14:45:00,2
2019-10-14 23:02:00,1
2019-10-14 23:03:00,3
2019-10-15 02:46:00,2
2019-10-15 03:01:00,1
2019-10-15 03:02:00,1
2019-10-15 03:04:00,2
2019-10-15 03:25:00,1
2019-10-15 03:28:00,1
2019-10-15 16:59:00,1
2019-10-15 17:00:00,1
2019-10-15 21:00:00,1
2019-10-15 21:17:00,2
2019-10-16 02:25:00,1
2019-10-16 02:30:00,1
2019-10-16 02:31:00,1
2019-10-16 02:34:00,1
2019-10-16 02:37:00,1
2019-10-16 18:12:00,1
2019-10-16 20:42:00,1
2019-10-16 20:45:00,1
2019-10-16 23:01:00,1
2019-10-16 23:13:00,1
2019-10-17 10:22:00,1
2019-10-17 10:41:00,1
2019-10-17 10:43:00,1
2019-10-17 14:49:00,3
