2,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift FROM PhotoObjAll AS p JOIN SpecObjAll AS s ON s.bestobjid = p.objid WHERE s.class = #"
2019-09-09 15:29:00,1
2019-09-09 15:30:00,1
