9596,"SELECT TOP # P.ra, P.dec, P.psfMag_u, P.psfMagErr_u, P.petroMag_u, P.petroMagErr_u, P.modelMag_u, P.modelMagErr_u, P.expMag_u, P.expMagErr_u, P.deVMag_u, P.deVMagErr_u, lnLExp_u, P.lnLDeV_u, P.psfMag_g, P.psfMagErr_g, P.petroMag_g, P.petroMagErr_g, P.modelMag_g, P.modelMagErr_g, P.expMag_g, P.expMagErr_g, P.deVMag_g, P.deVMagErr_g, lnLExp_g, P.lnLDeV_g, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r, P.expMag_r, P.expMagErr_r, P.deVMag_r, P.deVMagErr_r, lnLExp_r, P.lnLDeV_r, P.psfMag_i, P.psfMagErr_i, P.petroMag_i, P.petroMagErr_i, P.modelMag_i, P.modelMagErr_i, P.expMag_i, P.expMagErr_i, P.deVMag_i, P.deVMagErr_i, lnLExp_i, P.lnLDeV_i, P.psfMag_z, P.psfMagErr_z, P.petroMag_z, P.petroMagErr_z, P.modelMag_z, P.modelMagErr_z, P.expMag_z, P.expMagErr_z, P.deVMag_z, P.deVMagErr_z, lnLExp_z, P.lnLDeV_z, P.expAB_r, P.expPhi_r, P.expRad_r, P.deVAB_r, P.deVPhi_r, P.deVRad_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq (#, #, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-06-03 15:03:00,1
2019-06-03 15:05:00,14
2019-06-03 15:06:00,53
2019-06-03 15:12:00,18
2019-06-03 15:13:00,157
2019-06-03 15:14:00,155
2019-06-03 15:15:00,152
2019-06-03 15:16:00,152
2019-06-03 15:17:00,149
2019-06-03 15:18:00,147
2019-06-03 15:19:00,154
2019-06-03 15:20:00,161
2019-06-03 15:21:00,159
2019-06-03 15:22:00,165
2019-06-03 15:23:00,152
2019-06-03 15:24:00,164
2019-06-03 15:25:00,157
2019-06-03 15:26:00,157
2019-06-03 15:27:00,160
2019-06-03 15:28:00,154
2019-06-03 15:29:00,145
2019-06-03 15:30:00,150
2019-06-03 15:31:00,155
2019-06-03 15:32:00,149
2019-06-03 15:33:00,156
2019-06-03 15:34:00,148
2019-06-03 15:35:00,151
2019-06-03 15:36:00,152
2019-06-03 15:37:00,157
2019-06-03 15:38:00,158
2019-06-03 15:39:00,158
2019-06-03 15:40:00,156
2019-06-03 15:41:00,161
2019-06-03 15:42:00,137
2019-06-03 15:43:00,157
2019-06-03 15:44:00,158
2019-06-03 15:45:00,123
2019-06-03 15:46:00,157
2019-06-03 15:47:00,165
2019-06-03 15:48:00,159
2019-06-03 15:49:00,136
2019-06-03 15:50:00,155
2019-06-03 15:51:00,160
2019-06-03 15:52:00,162
2019-06-03 15:53:00,156
2019-06-03 15:54:00,143
2019-06-03 15:55:00,146
2019-06-03 15:56:00,159
2019-06-03 15:57:00,82
2019-06-03 16:16:00,101
2019-06-03 16:17:00,166
2019-06-03 16:18:00,157
2019-06-03 16:19:00,156
2019-06-03 16:20:00,159
2019-06-03 16:21:00,153
2019-06-03 16:22:00,143
2019-06-03 16:23:00,134
2019-06-03 16:24:00,147
2019-06-03 16:25:00,140
2019-06-03 16:26:00,140
2019-06-03 16:27:00,137
2019-06-03 16:28:00,136
2019-06-03 16:29:00,137
2019-06-03 16:30:00,140
2019-06-03 16:31:00,143
2019-06-03 16:32:00,147
2019-06-03 16:33:00,139
2019-06-03 16:34:00,87
2019-06-05 14:53:00,2
