20,"select snapnum , dbo.Shape::New (dbo.ConeSegment::New (#, #, #, #, #, #, @angle, dbo.math_max (@lo, lo) , dbo.math_min (@hi, hi) ).ToString () ) as shape from Indra.segments where lo < = @hi and hi > = @lo) , cover as (select snapnum, shape, c.* from lightcone cross apply dbo.fCover (#, @bits, @box, #, shape) c) select h.fofid, h.np, h.snapnum, h.m_crit2#, r_crit2# , h.x+sh.shiftx as x , h.y+sh.shifty as y , h.z+sh.shiftz as z into MyDB.lightcone_fof_# from cover sh inner loop join Indra.fof_# h on h.snapnum = sh.snapnum and h.phkey between sh.keymin and sh.keymax and sh.shape.ContainsPoint (h.x+sh.shiftx, h.y+sh.shifty, h.z+sh.shiftz) = #"
2019-03-07 13:33:00,1
2019-03-07 13:35:00,1
2019-03-07 13:39:00,1
2019-03-07 13:41:00,1
2019-03-07 13:44:00,1
2019-03-07 16:01:00,2
2019-03-07 16:17:00,1
2019-03-07 16:18:00,1
2019-03-07 16:19:00,1
2019-03-07 16:20:00,1
2019-03-07 16:45:00,1
2019-03-13 13:33:00,1
2019-03-13 17:03:00,1
2019-03-13 17:14:00,1
2019-03-13 17:17:00,1
2019-03-15 12:10:00,1
2019-03-15 12:27:00,1
2019-04-16 16:52:00,1
2019-04-16 18:11:00,1
