20,"select ra, dec, class from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-01-19 15:35:00,1
2019-02-13 15:23:00,2
2019-02-13 15:26:00,1
2019-02-13 15:28:00,1
2019-02-13 15:29:00,1
2019-02-13 15:41:00,1
2019-03-15 21:41:00,1
2019-03-22 00:22:00,1
2019-04-04 16:35:00,1
2019-04-28 14:03:00,1
2019-06-27 15:09:00,1
2019-06-28 07:16:00,1
2019-07-29 01:43:00,1
2019-08-11 10:28:00,1
2019-09-24 04:25:00,1
2019-10-22 10:04:00,1
2019-10-22 10:05:00,1
2019-10-24 13:59:00,1
2019-11-20 17:46:00,1
