22,"SELECT u.up_name as name, s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN SpecObjAll s ON s.specObjID = x.specObjID ##', @log = #, @filter = #"
2019-01-02 05:11:00,1
2019-01-23 18:22:00,1
2019-03-05 17:46:00,1
2019-04-01 13:17:00,1
2019-04-10 05:22:00,1
2019-05-24 08:36:00,3
2019-05-24 08:37:00,1
2019-05-24 08:41:00,1
2019-05-25 03:20:00,1
2019-05-28 09:32:00,1
2019-06-13 16:02:00,1
2019-06-13 16:08:00,1
2019-09-03 12:28:00,1
2019-09-20 07:17:00,2
2019-11-15 13:06:00,1
2019-11-15 16:08:00,1
2019-12-10 07:02:00,2
2019-12-10 07:04:00,1
