20,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.g FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-06-19 16:06:00,1
2019-06-19 17:17:00,19
