137,"SELECT ra, dec, rerun, run, camcol, field FROM field WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-07-16 10:16:00,12
2019-07-16 10:17:00,7
2019-07-16 13:47:00,12
2019-07-16 13:48:00,7
2019-07-16 15:44:00,13
2019-07-16 15:45:00,6
2019-07-16 16:15:00,13
2019-07-16 16:16:00,6
2019-07-16 16:38:00,4
2019-07-16 16:42:00,9
2019-07-16 16:43:00,5
2019-07-16 16:44:00,5
2019-07-17 07:22:00,10
2019-07-17 07:23:00,7
2019-07-17 07:24:00,2
2019-07-17 08:47:00,10
2019-07-17 08:48:00,6
2019-07-17 08:49:00,3
