34,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, +#, #) n where p.objid = n.objid"
2019-03-07 03:43:00,1
2019-03-07 03:45:00,1
2019-03-07 03:47:00,1
2019-03-07 03:48:00,1
2019-03-07 04:39:00,5
2019-03-07 04:41:00,5
2019-03-07 04:54:00,1
2019-03-07 04:55:00,1
2019-03-07 04:56:00,1
2019-03-07 04:58:00,1
2019-03-07 05:01:00,1
2019-03-07 05:02:00,1
2019-03-07 05:03:00,1
2019-06-25 17:04:00,3
2019-06-25 19:00:00,1
2019-06-27 14:49:00,1
2019-06-27 15:31:00,1
2019-06-27 15:32:00,1
2019-06-27 15:36:00,1
2019-06-27 15:54:00,1
2019-06-27 15:55:00,1
2019-06-27 19:23:00,1
2019-12-17 00:17:00,2
