1708,select * from zoo2Stripe8#Coadd2 where dr8objid = #
2019-01-01 03:11:00,1
2019-01-01 05:32:00,1
2019-01-01 06:45:00,1
2019-01-01 07:34:00,1
2019-01-01 11:19:00,1
2019-01-01 13:49:00,1
2019-01-01 19:20:00,1
2019-01-01 19:59:00,1
2019-01-01 20:31:00,1
2019-01-01 20:53:00,1
2019-01-01 20:58:00,1
2019-01-01 21:04:00,1
2019-01-02 01:46:00,1
2019-01-02 02:29:00,1
2019-01-02 04:34:00,1
2019-01-02 05:47:00,1
2019-01-02 15:36:00,1
2019-01-02 17:49:00,1
2019-01-02 22:05:00,1
2019-01-02 22:33:00,1
2019-01-03 00:19:00,1
2019-01-03 00:59:00,1
2019-01-03 02:05:00,1
2019-01-03 04:26:00,1
2019-01-03 04:32:00,1
2019-01-03 04:54:00,1
2019-01-03 06:18:00,1
2019-01-03 08:26:00,1
2019-01-03 08:27:00,1
2019-01-03 08:35:00,1
2019-01-03 08:52:00,1
2019-01-03 11:10:00,1
2019-01-03 11:34:00,1
2019-01-03 11:50:00,1
2019-01-03 12:49:00,1
2019-01-03 13:31:00,1
2019-01-03 13:35:00,1
2019-01-03 14:41:00,1
2019-01-03 14:42:00,1
2019-01-03 15:17:00,1
2019-01-03 15:42:00,1
2019-01-03 16:22:00,1
2019-01-03 20:07:00,1
2019-01-04 00:39:00,1
2019-01-04 00:40:00,1
2019-01-04 00:44:00,1
2019-01-04 01:03:00,1
2019-01-04 02:17:00,1
2019-01-04 03:00:00,1
2019-01-04 03:07:00,1
2019-01-04 03:54:00,1
2019-01-04 05:20:00,1
2019-01-04 07:46:00,1
2019-01-04 08:17:00,1
2019-01-04 08:22:00,1
2019-01-04 08:31:00,1
2019-01-04 08:56:00,1
2019-01-04 10:50:00,1
2019-01-04 10:54:00,1
2019-01-04 13:12:00,1
2019-01-04 13:13:00,1
2019-01-04 14:08:00,1
2019-01-04 14:52:00,1
2019-01-04 20:16:00,1
2019-01-04 20:23:00,1
2019-01-04 21:36:00,1
2019-01-05 04:28:00,1
2019-01-05 04:31:00,1
2019-01-05 04:34:00,1
2019-01-05 07:24:00,1
2019-01-05 09:46:00,1
2019-01-05 10:45:00,1
2019-01-05 11:17:00,1
2019-01-06 13:47:00,1
2019-01-07 18:17:00,1
2019-01-08 04:11:00,1
2019-01-08 09:51:00,1
2019-01-08 18:14:00,1
2019-01-08 19:05:00,1
2019-01-08 20:46:00,1
2019-01-09 07:03:00,1
2019-01-09 07:10:00,1
2019-01-09 08:24:00,1
2019-01-09 15:33:00,1
2019-01-09 17:11:00,1
2019-01-10 03:24:00,1
2019-01-10 05:23:00,1
2019-01-10 06:30:00,1
2019-01-10 10:53:00,1
2019-01-10 17:25:00,1
2019-01-10 17:35:00,1
2019-01-10 18:58:00,1
2019-01-11 11:32:00,1
2019-01-19 09:27:00,1
2019-01-19 11:16:00,1
2019-01-19 21:23:00,1
2019-01-20 05:15:00,1
2019-01-20 12:32:00,1
2019-01-20 23:22:00,1
2019-01-21 08:18:00,1
2019-01-21 23:28:00,1
2019-01-22 20:56:00,1
2019-01-23 09:31:00,1
2019-01-24 21:27:00,1
2019-01-25 05:57:00,1
2019-01-26 02:34:00,1
2019-01-26 13:20:00,1
2019-01-26 19:06:00,1
2019-01-26 22:27:00,1
2019-01-26 23:41:00,1
2019-01-27 07:21:00,1
2019-01-27 12:05:00,1
2019-01-27 12:16:00,1
2019-01-28 01:27:00,1
2019-01-28 06:03:00,1
2019-01-28 08:42:00,1
2019-01-28 14:31:00,1
