65,"select Milliseconds, Bytes from chinook.Track"
2019-04-10 17:49:00,1
2019-04-10 17:50:00,4
2019-04-10 17:53:00,1
2019-04-10 17:54:00,1
2019-04-17 11:02:00,1
2019-04-17 11:03:00,2
2019-04-17 11:04:00,1
2019-04-20 14:07:00,3
2019-04-20 14:08:00,1
2019-04-20 14:09:00,6
2019-04-20 14:10:00,2
2019-04-20 14:11:00,3
2019-04-20 14:12:00,3
2019-04-20 14:14:00,4
2019-04-20 16:19:00,1
2019-04-22 00:19:00,4
2019-04-22 00:20:00,4
2019-04-22 15:43:00,1
2019-04-22 15:47:00,2
2019-04-23 14:55:00,1
2019-04-23 14:56:00,2
2019-04-23 14:57:00,2
2019-04-23 14:58:00,3
2019-04-23 15:00:00,3
2019-04-23 15:02:00,1
2019-04-23 15:03:00,1
2019-04-23 15:10:00,1
2019-04-24 00:51:00,1
2019-04-24 00:52:00,2
2019-04-24 12:47:00,1
2019-04-24 12:53:00,1
2019-04-24 18:17:00,1
