8,"select g.specobjID, str (g.z, #, #) as z, g.ra, g.dec, s.petroMag_u, s.petroMag_g, s.petroMag_r, s.petroMag_i, s.petroMag_z, s.petroMagErr_u, s.petroMagErr_g, s.petroMagErr_r, s.petroMagErr_i, s.petroMagErr_z, s.extinction_u, s.extinction_g, s.extinction_r, s.extinction_i, s.extinction_z, s.petroR5#_r, s.petroR9#_r, p.bptclass, p.oh_p5#, p.lgm_tot_p5#, p.sfr_tot_p5#, p.specsfr_tot_p5#, n.logMass, n.age, n.AbsMagK, f.velstars, f.sigmastars From specobj g, photoobj s, galspecextra p, emissionlinesport f, stellarMassStarformingport n Where f.specobjID = g.specobjID and g.specobjID = s.specobjID and s.specobjID = p.specobjID and p.specobjID = n.specobjID and (g.legacy_target1& (#|#|#) )> # and (g.z> =# and g.z< =#)"
2019-09-11 01:56:00,2
2019-09-11 01:57:00,2
2019-09-11 02:02:00,4
