111,"SELECT Q.OBJID, S.specObjID FROM PhotoPrimary AS Q left outer join SpecPhoto AS S on Q.OBJID = S.OBJID WHERE S.OBJID IN ()"
2019-01-07 08:03:00,1
2019-01-07 08:12:00,1
2019-01-07 08:14:00,1
2019-01-07 08:15:00,1
2019-01-07 08:21:00,18
2019-01-07 08:22:00,28
2019-01-07 08:23:00,25
2019-01-07 08:24:00,7
2019-01-07 08:30:00,3
2019-01-07 08:53:00,1
2019-01-07 08:54:00,1
2019-01-07 08:55:00,2
2019-01-07 08:56:00,1
2019-01-07 08:58:00,4
2019-01-07 08:59:00,1
2019-01-07 09:33:00,1
2019-01-07 11:37:00,5
2019-01-07 14:47:00,5
2019-01-18 09:05:00,1
2019-01-19 13:02:00,1
2019-01-19 13:06:00,1
2019-01-19 13:07:00,2
