184,"SELECT TOP # star.apogee_id, star.ra, star.dec, star.glon, star.glat, star.vhelio_avg, star.vscatter, obj.j, obj.h, obj.k, obj.ak_targ, obj.ak_targ_method, obj.ak_wise, aspcap.teff, aspcap.logg, aspcap.metals FROM apogeeStar star JOIN aspcapStar aspcap on aspcap.apstar_id = star.apstar_id JOIN apogeeObject obj on aspcap.target_id = obj.target_id WHERE (aspcap.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and aspcap.teff > # and (star.vhelio_avg > #) and (star.starflag & dbo.fApogeeStarFlag (#) ) = # and star.nvisits > # order by aspcap.apogee_id"
2019-01-01 10:09:00,1
2019-01-02 01:59:00,1
2019-01-05 09:38:00,1
2019-01-06 03:38:00,1
2019-01-08 06:57:00,1
2019-01-10 22:48:00,1
2019-01-24 13:52:00,1
2019-01-25 17:59:00,1
2019-01-27 22:51:00,1
2019-01-28 16:18:00,1
2019-01-29 03:52:00,1
2019-02-02 15:51:00,1
2019-02-08 05:23:00,1
2019-02-11 22:23:00,1
2019-02-12 19:54:00,1
2019-02-12 19:59:00,1
2019-02-16 03:35:00,1
2019-02-19 00:16:00,1
2019-02-22 16:31:00,1
2019-02-23 20:26:00,1
2019-02-24 09:08:00,1
2019-02-25 03:05:00,1
2019-02-26 03:00:00,1
2019-02-28 09:01:00,1
2019-03-01 03:46:00,1
2019-03-01 12:54:00,1
2019-03-01 22:10:00,1
2019-03-04 17:27:00,1
2019-03-04 22:40:00,1
2019-03-04 23:45:00,1
2019-03-07 14:12:00,1
2019-03-08 12:04:00,1
2019-03-08 22:07:00,1
2019-03-09 12:23:00,1
2019-03-11 11:19:00,1
2019-03-11 13:25:00,1
2019-03-15 19:48:00,1
2019-03-17 06:15:00,1
2019-03-17 22:59:00,1
2019-03-18 15:48:00,1
2019-03-20 21:11:00,1
2019-03-23 05:04:00,1
2019-03-25 02:28:00,1
2019-03-25 13:27:00,1
2019-03-26 11:18:00,1
2019-03-28 03:31:00,1
2019-03-28 18:45:00,1
2019-03-30 10:04:00,1
2019-04-01 20:16:00,1
2019-04-04 13:46:00,1
2019-04-07 19:20:00,1
2019-04-08 16:12:00,1
2019-04-13 03:50:00,1
2019-04-14 13:11:00,1
2019-04-18 10:14:00,1
2019-04-18 10:15:00,1
2019-04-18 16:54:00,1
2019-04-22 19:57:00,1
2019-04-22 23:41:00,1
2019-04-26 18:12:00,1
2019-04-28 03:55:00,1
2019-04-30 11:51:00,1
2019-05-01 07:32:00,1
2019-05-01 10:01:00,1
2019-05-06 08:54:00,1
2019-05-11 07:46:00,1
