42,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.zWarning = # AND (s.class = #)"
2019-01-29 15:01:00,1
2019-03-14 14:46:00,1
2019-03-19 13:26:00,1
2019-03-19 15:01:00,1
2019-03-19 15:21:00,1
2019-03-19 15:22:00,1
2019-03-19 15:24:00,1
2019-03-19 15:27:00,4
2019-03-19 15:28:00,1
2019-03-19 15:29:00,1
2019-03-19 15:37:00,1
2019-05-02 15:06:00,1
2019-05-02 15:09:00,1
2019-05-09 03:57:00,1
2019-05-11 00:24:00,2
2019-06-04 09:44:00,1
2019-06-04 09:46:00,1
2019-06-04 09:49:00,1
2019-07-31 23:03:00,1
2019-08-08 13:41:00,1
2019-08-08 13:55:00,1
2019-09-30 21:54:00,1
2019-10-04 17:36:00,1
2019-10-30 15:50:00,1
2019-10-31 12:50:00,1
2019-11-03 14:09:00,1
2019-11-19 03:02:00,1
2019-12-03 01:03:00,1
2019-12-03 02:49:00,1
2019-12-05 03:09:00,1
2019-12-05 03:11:00,1
2019-12-05 03:15:00,2
2019-12-14 01:21:00,3
2019-12-14 01:22:00,1
2019-12-30 10:20:00,1
