2,"select # , cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i from specPhoto, galSpecInfo where targettype = QSO and ra BETWEEN # and # and"
2019-06-27 00:46:00,1
2019-06-27 00:47:00,1
