11,"SELECT u.up_name as name, p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.psfmag_u, p.psfmag_g, p.psfmag_r, p.psfmag_i, p.psfmag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID ORDER BY x.up_id ##', @log = #, @filter = #"
2019-02-03 08:51:00,1
2019-02-03 08:55:00,1
2019-02-03 08:56:00,1
2019-02-03 08:58:00,1
2019-02-03 09:15:00,1
2019-02-03 09:20:00,1
2019-02-03 09:21:00,1
2019-02-03 09:24:00,1
2019-02-03 09:33:00,1
2019-02-03 09:34:00,1
2019-02-03 09:37:00,1
