3,"SELECT p.objID, s.oii_#_flux, s.oii_#_flux_err, s.oii_#_flux, s.oii_#_flux_err, s.h_beta_flux, s.h_beta_flux_err, s.oiii_#_flux, s.oiii_#_flux_err, s.oiii_#_flux, s.oiii_#_flux_err, s.nii_#_flux, s.nii_#_flux, s.h_alpha_flux, s.h_alpha_flux_err, s.nii_#_flux, s.nii_#_flux_err FROM PhotoObjAll as p JOIN galSpecLine AS s ON s.specobjID = p.SpecObjID WHERE ( (p.r < = #) and (p.r > = #) and (p.u - p.r < = #) and (p.r - p.i < = #) and (p.r - p.z < = #) and (p.g - p.r > = p.r - p.i + #) and (p.u - p.r > = # * (p.r - p.z) ) and (p.g - p.r > #) and (p.petrorad_r > #) and (p.psfmagerr_g < #) and (p.psfmagerr_r < #) and (p.psfmagerr_i < #) )"
2019-05-31 05:52:00,1
2019-05-31 06:01:00,2
