9,"select top # p.objid, p.ra, p.dec from photoobj p where (p.u BETWEEN # AND #) and (p.g BETWEEN # AND #) and (p.r BETWEEN # AND #) and (p.i BETWEEN # AND #) and (p.z BETWEEN # AND #)"
2019-03-26 07:59:00,1
2019-03-26 08:00:00,1
2019-04-02 07:51:00,1
2019-04-13 13:33:00,1
2019-06-06 14:08:00,1
2019-06-06 14:11:00,2
2019-06-06 14:14:00,1
2019-06-19 15:10:00,1
