5,"SELECT TOP # m.PGC_name, m.RA AS ra1, m.DEC AS dec1, n.objid, o.ra AS ra2, o.dec AS dec2, o.cModelMag_u, o.cModelMag_r FROM MyDB.PGC AS m CROSS APPLY dbo.fGetNearestObjEq (m.ra, m.dec, #) AS n JOIN dr1#.PhotoObj AS o ON n.objid = o.objid"
2019-08-10 15:22:00,2
2019-08-10 15:23:00,1
2019-08-10 15:24:00,2
