5,"select ra, dec, r, psfMag_r, extinction_r from PhotoObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-09-30 03:28:00,1
2019-09-30 03:59:00,1
2019-09-30 04:01:00,2
2019-09-30 04:03:00,1
