128,select fieldid from field where skyslope_r between # and -.# and medianpsfcolor_r between # and #
2019-01-24 20:19:00,3
2019-01-24 21:36:00,2
2019-01-24 22:48:00,4
2019-01-24 22:49:00,1
2019-01-24 22:51:00,1
2019-01-24 22:55:00,1
2019-01-24 22:58:00,1
2019-01-24 23:00:00,2
2019-01-24 23:03:00,2
2019-01-25 02:14:00,1
2019-01-25 05:13:00,4
2019-01-25 05:16:00,3
2019-01-25 09:12:00,1
2019-01-25 09:17:00,2
2019-01-25 09:20:00,1
2019-01-25 09:21:00,3
2019-01-25 09:24:00,2
2019-01-25 09:28:00,2
2019-01-25 09:34:00,1
2019-01-25 09:43:00,4
2019-01-25 09:45:00,4
2019-01-25 09:49:00,1
2019-01-25 09:55:00,1
2019-01-25 09:56:00,3
2019-01-25 10:00:00,2
2019-01-25 10:05:00,1
2019-01-25 10:08:00,1
2019-01-25 10:15:00,1
2019-01-25 10:22:00,1
2019-01-25 10:28:00,1
2019-01-25 10:32:00,1
2019-01-25 10:36:00,1
2019-01-25 10:40:00,1
2019-01-25 10:44:00,1
2019-01-25 10:49:00,1
2019-01-25 10:53:00,1
2019-01-25 10:55:00,2
2019-01-25 11:02:00,1
2019-01-25 11:04:00,1
2019-01-25 11:09:00,1
2019-01-25 11:13:00,2
2019-01-25 11:15:00,1
2019-01-25 11:19:00,1
2019-01-25 11:22:00,1
2019-01-25 11:26:00,1
2019-01-25 11:28:00,1
2019-01-25 11:33:00,1
2019-01-25 11:39:00,2
2019-01-25 11:46:00,2
2019-01-25 11:49:00,1
2019-01-25 11:52:00,1
2019-01-25 11:55:00,1
2019-01-25 11:59:00,1
2019-01-25 12:02:00,2
2019-01-25 12:05:00,1
2019-01-25 12:10:00,1
2019-01-25 12:23:00,1
2019-01-25 12:28:00,1
2019-01-25 12:31:00,1
2019-01-25 12:34:00,1
2019-01-25 12:38:00,1
2019-01-25 16:37:00,3
2019-01-25 16:38:00,1
2019-01-25 17:08:00,2
2019-01-28 19:07:00,1
2019-01-28 21:39:00,1
2019-01-28 22:44:00,1
2019-01-28 23:05:00,1
2019-01-28 23:16:00,1
2019-01-28 23:37:00,1
2019-01-28 23:42:00,2
2019-02-26 11:08:00,5
2019-02-26 11:25:00,2
2019-02-26 11:54:00,2
2019-02-26 11:57:00,1
2019-02-26 11:58:00,3
2019-02-26 12:00:00,1
2019-02-26 12:01:00,2
2019-02-26 12:05:00,1
2019-02-26 12:07:00,1
2019-02-26 13:09:00,1
2019-02-26 13:26:00,2
