755,"SELECT TOP # modelMag_u, modelMag_g, objID FROM Galaxy WHERE (Flags & (dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) )) = # and petroRad_r < # and ( (modelMag_u - modelMag_g) - (psfMag_u - psfMag_g) ) < #"
2019-01-01 05:10:00,1
2019-01-01 10:01:00,1
2019-01-02 01:53:00,1
2019-01-03 11:16:00,1
2019-01-03 17:42:00,1
2019-01-04 12:15:00,1
2019-01-04 23:51:00,1
2019-01-05 05:18:00,1
2019-01-05 09:17:00,1
2019-01-05 18:15:00,1
2019-01-08 02:03:00,1
2019-01-08 03:51:00,1
2019-01-08 06:52:00,1
2019-01-08 17:19:00,1
2019-01-10 02:35:00,1
2019-01-10 22:45:00,1
2019-01-12 09:25:00,1
2019-01-14 11:41:00,1
2019-01-17 04:29:00,1
2019-01-17 11:48:00,1
2019-01-17 19:00:00,1
2019-01-17 19:08:00,1
2019-01-17 19:09:00,1
2019-01-17 23:32:00,1
2019-01-19 17:01:00,1
2019-01-19 20:45:00,1
2019-01-20 13:29:00,1
2019-01-20 18:27:00,1
2019-01-22 09:02:00,1
2019-01-22 15:15:00,1
2019-01-22 21:29:00,1
2019-01-23 22:24:00,2
2019-01-23 22:37:00,1
2019-01-24 13:45:00,1
2019-01-25 11:17:00,1
2019-01-25 17:35:00,1
2019-01-26 13:30:00,1
2019-01-26 18:36:00,1
2019-01-26 22:22:00,1
2019-01-27 16:23:00,1
2019-01-27 22:42:00,1
2019-01-28 16:03:00,1
2019-01-28 16:09:00,1
2019-01-29 03:46:00,1
2019-01-29 15:19:00,1
2019-01-30 18:16:00,2
2019-01-30 23:46:00,1
2019-01-31 00:39:00,1
2019-01-31 12:56:00,1
2019-02-01 11:49:00,1
2019-02-01 23:25:00,1
2019-02-02 12:54:00,1
2019-02-02 15:42:00,1
2019-02-03 20:14:00,1
2019-02-06 05:20:00,1
2019-02-06 16:52:00,1
2019-02-06 17:20:00,1
2019-02-07 09:18:00,1
2019-02-08 05:17:00,1
2019-02-08 16:56:00,1
2019-02-09 02:05:00,1
2019-02-09 07:23:00,1
2019-02-09 15:25:00,1
2019-02-10 18:30:00,1
2019-02-11 01:50:00,1
2019-02-11 04:50:00,1
2019-02-11 22:20:00,1
2019-02-11 22:33:00,1
2019-02-12 04:36:00,1
2019-02-12 17:25:00,1
2019-02-12 19:47:00,1
2019-02-12 19:55:00,1
2019-02-12 20:23:00,1
2019-02-12 20:52:00,1
2019-02-13 11:48:00,1
2019-02-13 14:32:00,1
2019-02-13 22:50:00,1
2019-02-13 23:38:00,1
2019-02-14 12:38:00,1
2019-02-14 14:29:00,1
2019-02-15 14:45:00,1
2019-02-15 18:50:00,1
2019-02-16 09:40:00,1
2019-02-16 11:23:00,1
2019-02-17 05:49:00,1
2019-02-17 16:44:00,1
2019-02-18 00:07:00,1
2019-02-18 18:11:00,1
2019-02-19 00:11:00,1
2019-02-20 03:55:00,1
2019-02-21 18:04:00,1
2019-02-22 18:54:00,1
2019-02-22 23:41:00,1
2019-02-23 00:40:00,1
2019-02-23 02:19:00,1
2019-02-23 05:00:00,1
2019-02-23 14:26:00,1
2019-02-24 19:08:00,1
2019-02-24 23:21:00,1
2019-02-25 01:59:00,1
2019-02-26 00:22:00,1
2019-02-26 02:54:00,1
2019-02-27 17:18:00,1
2019-02-28 04:07:00,1
2019-02-28 05:49:00,1
2019-02-28 06:57:00,1
2019-02-28 08:54:00,1
2019-03-01 10:22:00,1
2019-03-02 05:25:00,1
2019-03-02 11:31:00,1
2019-03-02 14:19:00,1
2019-03-03 04:25:00,1
2019-03-03 08:09:00,1
2019-03-04 04:26:00,1
2019-03-04 10:34:00,1
2019-03-04 10:44:00,1
2019-03-04 22:56:00,1
2019-03-04 23:03:00,1
2019-03-06 14:21:00,1
2019-03-06 16:26:00,1
2019-03-07 10:02:00,1
2019-03-07 14:06:00,1
2019-03-08 11:16:00,1
2019-03-08 14:31:00,1
2019-03-08 21:33:00,1
2019-03-08 21:58:00,1
2019-03-08 23:14:00,1
2019-03-09 00:49:00,1
2019-03-09 12:09:00,1
2019-03-09 18:19:00,1
2019-03-09 21:36:00,1
2019-03-10 02:42:00,1
2019-03-10 02:50:00,1
2019-03-11 03:02:00,1
2019-03-11 03:10:00,1
2019-03-11 11:14:00,1
2019-03-11 17:07:00,1
2019-03-11 21:58:00,1
2019-03-12 04:47:00,1
2019-03-12 06:37:00,1
2019-03-12 06:48:00,1
2019-03-13 07:46:00,1
2019-03-13 23:16:00,1
2019-03-14 06:54:00,1
2019-03-14 11:34:00,1
2019-03-14 14:26:00,1
2019-03-15 01:34:00,1
2019-03-15 05:50:00,1
2019-03-15 19:22:00,1
2019-03-16 21:45:00,1
2019-03-17 04:54:00,1
2019-03-17 21:59:00,1
2019-03-19 05:48:00,1
2019-03-19 10:25:00,1
