2,"select ra, dec, w1rsemi, w2rsemi, w3rsemi, w4rsemi from WISE_allsky where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-06-07 03:55:00,1
2019-06-07 03:56:00,1
