28,"SELECT s.plate, s.mjd, s.fiberID FROM SpecObj AS s JOIN PhotoObjAll AS p ON p.objid = s.bestobjid WHERE s.z BETWEEN # AND # AND s.zwarning = # AND (s.class = #) and s.snMedian_g> #"
2019-06-07 13:09:00,1
2019-06-08 18:14:00,1
2019-06-08 18:20:00,1
2019-06-08 18:22:00,1
2019-06-08 18:56:00,1
2019-06-08 18:57:00,1
2019-06-08 19:14:00,1
2019-06-08 20:08:00,1
2019-06-08 20:27:00,1
2019-06-10 08:31:00,1
2019-06-10 20:05:00,1
2019-06-11 09:16:00,1
2019-06-11 20:39:00,1
2019-06-18 21:48:00,1
2019-06-18 22:21:00,1
2019-07-03 13:45:00,1
2019-07-14 14:30:00,1
2019-07-14 14:33:00,1
2019-07-14 15:40:00,1
2019-07-14 15:46:00,1
2019-07-31 14:11:00,1
2019-07-31 14:13:00,1
2019-07-31 14:14:00,1
2019-07-31 14:15:00,1
2019-08-08 13:15:00,1
2019-08-08 13:21:00,1
2019-08-08 13:22:00,1
2019-08-08 14:24:00,1
