4,"select ROUND (x/@bin, #) *@bin as X, COUNT (*) as Cts into MyHistogram -- name of new table from Data group by ROUND (x/@bin, #) *@bin order by ROUND (x/@bin, #) *@bin"
2019-05-06 01:36:00,2
2019-05-06 01:37:00,1
2019-05-06 01:38:00,1
