3,"SELECT objID, ra, dec, cModelMag_g, u, g, r, i, z FROM Star WHERE (ra between # and #) and (dec between # and #) AND cModelMag_g between # and #"
2019-04-03 15:42:00,2
2019-04-03 15:43:00,1
