88,"SELECT top # p.ra, p.dec, p.modelMag_r, p.modelMagErr_r, p.clean, p.type, p.mode, s.z, s.class, s.subclass, s.zwarning FROM galSpecLine AS g JOIN SpecObj AS s ON s.specObjID = g.specObjID JOIN PhotoObj AS p ON p.specObjID = s.specObjID WHERE s.class = # AND clean = # AND s.zwarning = # AND s.z < = # AND modelMag_r > = # AND modelMag_r < #"
2019-07-30 22:23:00,1
2019-07-30 22:25:00,2
2019-07-30 22:26:00,1
2019-07-30 22:27:00,3
2019-07-30 22:30:00,1
2019-07-30 22:31:00,8
2019-07-30 22:36:00,6
2019-07-30 22:37:00,12
2019-07-30 22:39:00,18
2019-07-30 22:48:00,9
2019-07-30 22:52:00,9
2019-07-30 23:18:00,9
2019-07-30 23:21:00,9
