42,"SELECT s.ra, s.dec, s.z, s.zErr, s.dered_z FROM SpecPhoto s, dbo.fGetNearbyObjEq (#, #, #) as n WHERE class = # AND n.objID = s.objID AND ABS (#-s.z) < = #* (#+s.z)"
2019-04-12 02:37:00,1
2019-04-12 02:52:00,1
2019-04-12 02:53:00,2
2019-04-12 02:59:00,1
2019-04-12 03:02:00,1
2019-04-12 03:03:00,1
2019-04-12 04:22:00,3
2019-04-12 04:23:00,2
2019-04-12 04:24:00,1
2019-04-12 04:25:00,2
2019-04-12 04:26:00,1
2019-04-12 04:32:00,3
2019-04-12 04:33:00,2
2019-04-12 04:34:00,3
2019-04-12 04:35:00,1
2019-04-12 04:38:00,1
2019-04-12 04:41:00,2
2019-04-12 04:42:00,1
2019-04-12 04:43:00,1
2019-04-12 04:45:00,1
2019-04-12 04:47:00,3
2019-04-12 04:55:00,2
2019-04-12 05:32:00,1
2019-04-12 05:37:00,1
2019-04-12 19:29:00,2
2019-04-12 19:44:00,2
