1003,"SELECT TOP # p.objid, p.specobjid, p.ra, p.dec, p.type, n.distance AS offset, p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID ORDER BY offset"
2019-05-06 18:52:00,10
2019-05-06 18:53:00,10
2019-05-06 18:54:00,3
2019-05-06 18:55:00,16
2019-05-06 18:56:00,15
2019-05-06 18:57:00,16
2019-05-06 18:58:00,15
2019-05-06 18:59:00,3
2019-05-06 19:04:00,12
2019-05-06 19:05:00,17
2019-05-06 19:06:00,16
2019-05-06 19:07:00,16
2019-05-06 19:08:00,18
2019-05-06 19:09:00,17
2019-05-06 19:10:00,18
2019-05-06 19:11:00,17
2019-05-06 19:12:00,17
2019-05-06 19:13:00,16
2019-05-06 19:14:00,17
2019-05-06 19:15:00,17
2019-05-06 19:16:00,16
2019-05-06 19:17:00,17
2019-05-06 19:18:00,18
2019-05-06 19:19:00,16
2019-05-06 19:20:00,14
2019-05-06 20:58:00,2
2019-05-06 21:43:00,1
2019-05-06 21:44:00,17
2019-05-06 21:45:00,17
2019-05-06 21:46:00,17
2019-05-06 21:47:00,15
2019-05-06 22:10:00,7
2019-05-06 22:11:00,4
2019-05-06 22:14:00,7
2019-05-06 22:15:00,14
2019-05-06 22:16:00,13
2019-05-06 22:17:00,14
2019-05-06 22:18:00,16
2019-05-06 22:19:00,14
2019-05-06 22:20:00,13
2019-05-06 22:21:00,14
2019-05-06 22:22:00,14
2019-05-06 22:23:00,14
2019-05-06 22:24:00,13
2019-05-06 22:25:00,14
2019-05-06 22:26:00,14
2019-05-06 22:27:00,13
2019-05-06 22:28:00,15
2019-05-06 22:29:00,14
2019-05-06 22:30:00,10
2019-05-06 22:31:00,8
2019-08-30 19:11:00,1
2019-08-30 19:12:00,1
2019-08-30 19:13:00,72
2019-08-30 19:14:00,8
2019-08-30 20:46:00,80
2019-09-08 22:33:00,17
2019-09-08 22:34:00,2
2019-09-08 22:35:00,8
2019-09-08 22:36:00,8
2019-09-08 22:37:00,6
2019-09-08 22:38:00,8
2019-09-08 22:39:00,5
2019-09-08 22:42:00,3
2019-09-08 22:43:00,6
2019-09-08 22:44:00,7
2019-09-08 22:45:00,7
2019-09-08 22:46:00,7
2019-09-08 22:47:00,7
2019-09-08 22:48:00,6
2019-09-08 22:49:00,7
2019-09-08 22:50:00,7
2019-09-08 22:51:00,7
2019-09-08 22:52:00,6
2019-09-08 22:53:00,7
2019-09-08 22:54:00,3
2019-09-09 19:29:00,1
2019-09-09 19:30:00,1
2019-09-24 17:58:00,5
2019-09-24 17:59:00,3
2019-09-24 18:00:00,7
2019-09-24 18:01:00,7
2019-11-26 00:19:00,1
2019-11-26 19:53:00,1
