7,select top # * from [Megamaser Disks]
2019-01-17 11:32:00,1
2019-01-22 11:12:00,1
2019-02-28 11:33:00,1
2019-07-18 12:14:00,1
2019-08-06 11:56:00,1
2019-08-13 15:04:00,2
