2765,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, IS# (fp.nfirstmatch, #) FROM (SELECT run, sum (primaryArea) AS runarea, #e6*avg (power (cast (#. as float) , #*sky_r) ) as avg_sky_muJy FROM Field GROUP BY run) AS fld LEFT OUTER JOIN (SELECT p.run, count (*) AS nfirstmatch FROM FIRST AS fm INNER JOIN photoprimary as p ON p.objid = fm.objid GROUP BY p.run) AS fp ON fld.run = fp.run ORDER BY fld.run"
2019-01-01 09:06:00,1
2019-01-01 09:09:00,1
2019-01-01 09:12:00,1
2019-01-01 09:17:00,1
2019-01-01 09:26:00,1
2019-01-01 09:43:00,1
2019-01-01 11:08:00,1
2019-01-01 20:16:00,1
2019-01-02 00:18:00,1
2019-01-02 00:48:00,1
2019-01-02 01:06:00,1
2019-01-02 01:11:00,1
2019-01-02 01:20:00,1
2019-01-02 01:37:00,1
2019-01-02 02:44:00,1
2019-01-03 11:08:00,1
2019-01-03 13:57:00,1
2019-01-03 14:07:00,1
2019-01-03 14:24:00,1
2019-01-04 10:38:00,1
2019-01-04 14:43:00,1
2019-01-04 16:23:00,1
2019-01-05 07:49:00,1
2019-01-05 07:52:00,1
2019-01-05 07:55:00,1
2019-01-05 08:00:00,1
2019-01-05 08:09:00,1
2019-01-05 08:26:00,1
2019-01-05 10:07:00,1
2019-01-05 11:53:00,1
2019-01-05 11:55:00,1
2019-01-05 11:58:00,1
2019-01-05 12:12:00,1
2019-01-05 12:29:00,1
2019-01-06 12:19:00,1
2019-01-06 12:40:00,1
2019-01-07 03:08:00,1
2019-01-07 12:24:00,1
2019-01-07 23:30:00,1
2019-01-07 23:58:00,1
2019-01-08 00:00:00,1
2019-01-08 00:03:00,1
2019-01-08 00:08:00,1
2019-01-08 00:17:00,1
2019-01-08 00:34:00,1
2019-01-08 03:28:00,1
2019-01-08 03:42:00,1
2019-01-08 05:29:00,1
2019-01-08 05:31:00,1
2019-01-08 05:34:00,1
2019-01-08 05:39:00,1
2019-01-08 05:48:00,1
2019-01-08 06:05:00,1
2019-01-08 06:26:00,1
2019-01-08 06:27:00,1
2019-01-08 07:27:00,1
2019-01-08 08:40:00,1
2019-01-08 09:47:00,1
2019-01-08 15:08:00,1
2019-01-08 15:17:00,1
2019-01-08 15:34:00,1
2019-01-10 22:11:00,1
2019-01-10 22:20:00,1
2019-01-10 22:37:00,1
2019-01-11 04:42:00,1
2019-01-12 03:13:00,1
2019-01-13 03:10:00,1
2019-01-13 08:30:00,1
2019-01-13 09:09:00,1
2019-01-14 13:11:00,1
2019-01-14 15:46:00,1
2019-01-14 16:35:00,1
2019-01-14 21:27:00,1
2019-01-14 23:46:00,1
2019-01-17 04:12:00,1
2019-01-17 04:32:00,1
2019-01-17 04:34:00,1
2019-01-17 04:37:00,1
2019-01-17 04:42:00,1
2019-01-17 04:51:00,1
2019-01-17 05:08:00,1
2019-01-18 23:55:00,1
2019-01-19 00:14:00,1
2019-01-19 08:28:00,1
2019-01-19 08:35:00,1
2019-01-19 17:13:00,1
2019-01-20 18:32:00,1
2019-01-20 18:34:00,1
2019-01-20 18:37:00,1
